,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,ensembl_id
count,35787,6000.0,35787.0,35787.0,35787.0,35787.0,35787
unique,2,,,,,,1
top,False,,,,,,unknown
freq,31787,,,,,,35787
mean,,2327.477294921875,0.4519077886729912,9.747746505157355,0.9908732822697803,0.44708972531925,
std,,1090.57666015625,2.128908113240537,187.92958090982262,0.7639681810031808,1.128730943892841,
min,,0.0,0.0,0.0,0.0,0.0,
25%,,1493.5,0.0007662921601550614,0.0008172116351121536,0.8094812661217765,0.0,
50%,,2521.0,0.01757803381666621,0.022448322375474564,0.9250786205331178,0.0,
75%,,3233.0,0.22337255482772111,0.3546390651612368,1.0056778472123606,0.0,
max,,3999.0,117.63874637178371,19348.710729595947,63.0490120897506,4.0,
