,label,name,cluster_annotation_term_set_label,cluster_annotation_term_set_name,color_hex_triplet,term_order,term_set_order,parent_term_label,parent_term_name,parent_term_set_label
count,1548,1548,1548,1548,1548,1548.0,1548.0,1544,1544,1544
unique,1548,1534,5,5,1528,,,113,99,4
top,CS20250428_NEIGH_0001,F M Glut,CCN20250428_LEVEL_4,Cluster,#a8afa5,,,CS20250428_GROUP_0064,VTR-HTH Glut,CCN20250428_LEVEL_3
freq,1,2,1435,1435,4,,,86,86,1435
mean,,,,,,666.3966408268734,3.8804909560723515,,,
std,,,,,,437.8811786409319,0.47896329199949095,,,
min,,,,,,0.0,0.0,,,
25%,,,,,,273.75,4.0,,,
50%,,,,,,660.5,4.0,,,
75%,,,,,,1047.25,4.0,,,
max,,,,,,1434.0,4.0,,,
