,cell_label,brain_section_label,brain_section_barcode,segmentation_job_id,x_experiment,y_experiment,qc_pass,dataset_label,feature_matrix_label,abc_sample_id
count,5431560,5431560,5431560.0,5431560,5431560.0,5431560.0,5431560,5431560,5431560,4260113
unique,5431560,95,,1,,,2,1,1,4260113
top,1324989690_1-20250227,H22.30.001.CX.19.03.07.01,,sis_cellpose_v1,,,True,HMBA-MERSCOPE-H22.30.001-BG,MERSCOPE-H22.30.001-BG,ddc7b0c5-1bb0-4f02-a1e4-ddacac84c9aa
freq,1,105485,,5431560,,,4201258,5431560,5431560,1
mean,,,1325569872.055579,,5503.449493034959,5660.200056384991,,,,
std,,,24533599.576211203,,2592.4052008152007,2697.0197167130805,,,,
min,,,1304618482.0,,-222.52191,-288.8937,,,,
25%,,,1308461491.0,,3483.22685,3531.1965250000003,,,,
50%,,,1322691967.0,,5416.2775,5567.6697,,,,
75%,,,1326499925.0,,7365.5085,7673.79725,,,,
max,,,1426549599.0,,14276.9375,13317.007,,,,
