,cell_label,total_counts,total_counts_genes,n_genes_by_counts,total_counts_Blank,pct_counts_Blank,genes_filter,counts_filter,blanks_filter,doublets_filter,qc_pass_and_singlet,doublet_singlet_score_diff,doublet_diff_threshold,STAligner_mclust_res_10_knn_15,segmentation_job_id
count,5431560,5431560.0,5431560.0,5431560.0,5431560.0,5405609.0,5431560,5431560,5431560,5431560,5431560,4201258.0,5431560.0,5259544.0,5431560
unique,5431560,,,,,,2,2,2,2,2,,,,1
top,1324989690_1-20250227,,,,,,False,False,False,False,True,,,,sis_cellpose_v1
freq,1,,,,,,4825118,4333512,5271794,5286669,4056367,,,,5431560
mean,,103.03298886507744,102.75850455486085,30.241478507095568,0.27448431021658604,0.305196015810464,,,,,,-1.494496503251062,2.181385276806325,5.6726564127992845,
std,,153.57621996500086,153.09185912406008,27.215610647751724,0.756944537461727,1.7749946997840431,,,,,,2.569912471246689,0.09273743186646773,2.792171723196228,
min,,0.0,0.0,0.0,0.0,0.0,,,,,,-17.06542,1.8359553813934328,1.0,
25%,,14.0,13.0,9.0,0.0,0.0,,,,,,-2.5693162000000003,2.135338604450226,4.0,
50%,,48.0,48.0,23.0,0.0,0.0,,,,,,-1.0657496000000002,2.1812294244766237,6.0,
75%,,128.0,128.0,43.0,0.0,0.0,,,,,,0.1670508725,2.246723234653473,7.0,
max,,5706.0,5678.0,264.0,44.0,50.0,,,,,,7.2211437,2.395712852478028,10.0,
