,cell_label,Neighborhood,Neighborhood_bootstrapping_probability,Neighborhood_correlation_coefficient,Class,Class_bootstrapping_probability,Class_correlation_coefficient,Subclass,Subclass_bootstrapping_probability,Subclass_correlation_coefficient,Group,Group_bootstrapping_probability,Group_correlation_coefficient,cluster_id,cluster_id_bootstrapping_probability,cluster_id_correlation_coefficient,hierarchy_consistent,Neighborhood_entropy,Class_entropy,Subclass_entropy,Group_entropy,cluster_id_entropy
count,5431560,5431560,5431560.0,5431560.0,5431560,5431560.0,5431560.0,5431560,5431560.0,5431560.0,5431560,5431560.0,5431560.0,5431560,5431560.0,5431560.0,5431560,5431560.0,5431560.0,5431560.0,5431560.0,5431560.0
unique,5431560,5,,,13,,,37,,,61,,,497,,,2,,,,,
top,1324989690_1-20250227,Nonneuron,,,OPC-Oligo,,,Oligodendrocyte,,,Oligo OPALIN,,,Human-1,,,True,,,,,
freq,1,4224819,,,2211725,,,1912203,,,1011372,,,950009,,,5405055,,,,,
mean,,,0.9871881706176495,0.3912583002673265,,0.9756060524048341,0.39152168864930154,,0.9587811678412831,0.39161594904594627,,0.9305649242574878,0.391749228656224,,0.8707510862440992,0.39197543608097857,,0.03677258464554346,0.07199920833340781,0.11766816410963586,0.19164705446374516,0.3607176499368648
std,,,0.05130303339408967,0.15540304718750286,,0.07164504512272474,0.15511938952884388,,0.09496827671969556,0.1550478628932589,,0.11954906032049922,0.15495115026448403,,0.15383170332939644,0.154828666329315,,0.11769376443131094,0.17353491475047922,0.22452707318281953,0.2713023616563267,0.3553687625258988
min,,,0.21,-0.0265,,0.16,-0.0265,,0.16,-0.0264,,0.16,-0.0264,,0.16,-0.0264,,0.0,0.0,0.0,0.0,0.0
25%,,,1.0,0.2679,,1.0,0.2683,,0.97,0.2686,,0.91,0.2688,,0.8,0.2694,,0.0,0.0,0.0,0.0,0.0
50%,,,1.0,0.4055,,1.0,0.4055,,1.0,0.4056,,0.99,0.4057,,0.93,0.4059,,0.0,0.0,0.0,0.0560015343548473,0.2685563533342012
75%,,,1.0,0.5141,,1.0,0.5141,,1.0,0.5141,,1.0,0.5142,,1.0,0.5142,,0.0,0.0,0.1538375932286111,0.3250829733914482,0.6035685591227835
max,,,1.0,0.8249,,1.0,0.8249,,1.0,0.8249,,1.0,0.8249,,1.0,0.8249,,1.5134646160426128,1.9411697124052687,2.0717338638951555,2.1095025227473823,2.4940913850849373
