,cell_label,brain_section_label,brain_section_barcode,segmentation_job_id,x_experiment,y_experiment,qc_pass,dataset_label,feature_matrix_label,abc_sample_id
count,3255402,3255402,3255402.0,3255402,3255402.0,3255402.0,3255402,3255402,3255402,3164713
unique,3255402,86,,1,,,2,1,1,3164713
top,1291813781_1-20250227,QM23.50.001.CX.44.03.05.02,,sis_cellpose_v1,,,True,HMBA-MERSCOPE-QM23.50.001-BG,MERSCOPE-QM23.50.001-BG,a07ba25c-83d8-49b7-b5f7-0fbc1492661a
freq,1,109664,,3255402,,,3164713,3255402,3255402,1
mean,,,1293040558.7915115,,5399.788851221016,5663.862137612029,,,,
std,,,11551278.99584243,,2413.4074651806136,2647.9065273290316,,,,
min,,,1291809799.0,,-114.20748,-142.11192,,,,
25%,,,1291812310.0,,3517.79055,3602.9071750000003,,,,
50%,,,1291813811.0,,5249.155000000001,5532.7925,,,,
75%,,,1291815483.0,,7162.7225,7611.03765,,,,
max,,,1401811732.0,,13097.322,13206.05,,,,
