,cell_label,total_counts,total_counts_genes,n_genes_by_counts,total_counts_Blank,pct_counts_Blank,genes_filter,counts_filter,blanks_filter,incongruous_pairs_pct,incongruous_genes_pct,doublets_filter,qc_pass_and_singlet,doublet_singlet_score_diff,doublet_diff_threshold,STAligner_leidenalg_res_0.8_knn_15,registration_subset_label,segmentation_job_id
count,3255402,3255402.0,3255402.0,3255402.0,3255402.0,3255402.0,3255402,3255402,3255402,3255402.0,3255402.0,3255402,3255402,3164713.0,3255402.0,3226812.0,179070.0,3255402
unique,3255402,,,,,,2,2,2,,,2,2,,,,,1
top,1291813781_1-20250227,,,,,,False,False,False,,,False,True,,,,,sis_cellpose_v1
freq,1,,,,,,3220921,3204645,3210944,,,3167754,3077065,,,,,3255402
mean,,480.15865598165755,478.5567103540515,90.55097097071268,1.6019456276060529,0.351821572726119,,,,0.08399714603562193,0.9400841051680858,,,-1.5537502228228885,2.5698313242431503,5.432059878294738,0.06596861562517452,
std,,423.6993965149833,422.0477208867876,44.393028083960054,2.41790422549823,1.088242329635111,,,,0.32498253168760916,1.455989238054843,,,2.067249388394627,0.0929786650468167,4.657026289809687,0.2482279224276096,
min,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-12.030942,2.322453308105469,0.0,0.0,
25%,,195.0,195.0,59.0,0.0,0.0,,,,0.0,0.0,,,-2.941354,2.508573865890503,1.0,0.0,
50%,,366.0,365.0,84.0,1.0,0.2100840336134453,,,,0.01736605814514515,0.4305705059203444,,,-1.6024452,2.5713320016860965,4.0,0.0,
75%,,617.0,615.0,118.0,2.0,0.4504504504504504,,,,0.081789555473766,1.1583011583011582,,,-0.20599413,2.6363293170928954,9.0,0.0,
max,,10448.0,10419.0,288.0,140.0,50.0,,,,100.0,100.0,,,7.564206,2.8502484560012817,37.0,1.0,
