,cell_label,Neighborhood,Neighborhood_bootstrapping_probability,Neighborhood_correlation_coefficient,Class,Class_bootstrapping_probability,Class_correlation_coefficient,Subclass,Subclass_bootstrapping_probability,Subclass_correlation_coefficient,Group,Group_bootstrapping_probability,Group_correlation_coefficient,cluster_id,cluster_id_bootstrapping_probability,cluster_id_correlation_coefficient,hierarchy_consistent,Neighborhood_entropy,Class_entropy,Subclass_entropy,Group_entropy,cluster_id_entropy
count,3255402,3255402,3255402.0,3255402.0,3255402,3255402.0,3255402.0,3255402,3255402.0,3255402.0,3255402,3255402.0,3255402.0,3255402,3255402.0,3255402.0,3255402,3255402.0,3255402.0,3255402.0,3255402.0,3255402.0
unique,3255402,5,,,13,,,36,,,59,,,475,,,2,,,,,
top,1291813781_1-20250227,Nonneuron,,,OPC-Oligo,,,Oligodendrocyte,,,Oligo OPALIN,,,Macaque-284,,,True,,,,,
freq,1,2403760,,,1368271,,,1263951,,,996291,,,287123,,,3246497,,,,,
mean,,,0.9956277657874512,0.5228002231368046,,0.9917305788962469,0.522827871212219,,0.9850344135685853,0.5228499049272564,,0.9644167694189536,0.5228449702064445,,0.9056530038379283,0.5228416241987933,,0.010635741941926905,0.02044090237665253,0.03751196984454352,0.0883898071874258,0.23584129952440055
std,,,0.034899126664093345,0.10878056433184748,,0.04844192840227701,0.10870689540692778,,0.06450238260200301,0.10865131113800318,,0.09509626933323921,0.10863027673114631,,0.1448457462306236,0.10856404255754337,,0.0711403324194293,0.1021312156357867,0.13833921885509354,0.19873151869448072,0.30745463790694066
min,,,0.21,-0.0108,,0.19,-0.0108,,0.19,-0.0108,,0.19,-0.0108,,0.17,-0.0108,,0.0,0.0,0.0,0.0,0.0
25%,,,1.0,0.4668,,1.0,0.4668,,1.0,0.4669,,0.99,0.4669,,0.86,0.4669,,0.0,0.0,0.0,0.0,0.0
50%,,,1.0,0.5375,,1.0,0.5375,,1.0,0.5375,,1.0,0.5375,,0.99,0.5375,,0.0,0.0,0.0,0.0,0.0560015343548473
75%,,,1.0,0.5994,,1.0,0.5994,,1.0,0.5994,,1.0,0.5994,,1.0,0.5994,,0.0,0.0,0.0,0.0560015343548473,0.439669879401343
max,,,1.0,0.8314,,1.0,0.8314,,1.0,0.8314,,1.0,0.8314,,1.0,0.8312,,1.35219094786074,1.6639212560698835,1.942407042432372,1.964900448217124,2.3265308007055734
