,cell_label,adp_v_last_rheo,ahp_delay_5spike,ahp_delay_hero,ahp_delay_ratio_5spike,ahp_delay_ratio_hero,downstroke_adapt_ratio,downstroke_hero,downstroke_ramp,downstroke_rheo,downstroke_short_square,fast_trough_v_hero,fast_trough_v_last_rheo,fast_trough_v_rheo,fast_trough_v_short_square,peak_deltav_5th_adapt_ratio,peak_deltav_adapt_ratio,peak_deltav_hero,peak_deltav_ramp,peak_deltav_rheo,peak_deltav_short_square,peak_v_adapt_ratio,peak_v_hero,peak_v_rheo,postap_slope_hero,postap_slope_ramp,postap_slope_rheo,threshold_v_adapt_ratio,threshold_v_hero,threshold_v_ramp,threshold_v_rheo,threshold_v_short_square,trough_t_hero,trough_t_rheo,trough_t_short_square,trough_v_hero,trough_v_ramp,trough_v_rheo,trough_v_short_square,upstroke_adapt_ratio,upstroke_downstroke_ratio_hero,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_rheo,upstroke_downstroke_ratio_short_square,upstroke_hero,upstroke_ramp,upstroke_rheo,upstroke_short_square,width_adapt_ratio,width_hero,width_ramp,width_rheo,width_rheo_ms,width_short_square,width_suprathresh_hero,width_suprathresh_ramp,width_suprathresh_rheo,width_suprathresh_short_square
count,717,336.0,549.0,563.0,549.0,563.0,549.0,592.0,236.0,639.0,562.0,592.0,587.0,639.0,11.0,548.0,549.0,592.0,236.0,639.0,562.0,549.0,592.0,639.0,592.0,236.0,592.0,549.0,592.0,236.0,639.0,562.0,592.0,639.0,11.0,592.0,236.0,639.0,11.0,549.0,592.0,236.0,639.0,562.0,592.0,236.0,639.0,562.0,548.0,592.0,236.0,639.0,639.0,560.0,592.0,236.0,592.0,560.0
unique,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,Q19.26.014.11.04.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,-50.79669139498756,0.026880664845173,0.022586429840142048,0.1836179771014278,0.19684110559943013,0.8886955929504043,-100.12668177616551,-97.3885488959569,-98.14933096021468,-110.52935852671729,-50.1631672881745,-50.41232139613397,-50.845581318074146,-47.77556818181818,0.9899344608405309,0.9933252957240163,82.0576474064508,78.33084827929632,82.25298702797753,84.74562967445785,0.9859227207467137,42.01040096802486,42.193663985855515,0.20294861205053755,0.2868647425678322,-0.007888713909315127,0.9569886615917078,-40.047246438425944,-38.13573318674002,-40.05932304218461,-43.9231744140634,0.20933039695945937,0.47713089201877923,0.03763454545454545,-51.28325832212293,-53.03634653882631,-54.41082007442999,-55.63920454545455,0.879470997534866,4.249439061297544,3.824208092520679,4.239814249044525,3.9187446763179574,377.2645987083935,336.58799414088395,370.09659691799203,390.5963853706473,1.1367302108049027,0.000993758445945895,0.0011628415388754095,0.0010277543035993241,1.0277543035993242,0.0009130282738094769,0.0009107010135134639,0.0010912882701102277,0.0009310304054053591,0.0008360044642856634
std,,6.053869817157444,0.020405402353867782,0.018578122102655376,0.1417024535996989,0.15687405973028365,0.0995359569443118,54.844171539346846,59.33226262417501,55.350229803737165,55.20374559238307,7.228577123838924,6.924307652273337,6.906390130249014,9.262310412426068,0.07188246392374084,0.06725722285789507,12.177835432153227,14.792885632454166,12.637680307390662,15.92664419857306,0.11790990520812643,11.556257330308664,11.860816785467755,1.1102175622778374,6.85868310416386,1.034090923086766,0.07136036194511854,7.130121259288807,8.128309943850175,6.8882104877475046,8.467470079717897,0.08622951331603543,0.27280747852198983,0.013303768160665131,7.012990212517063,7.048851059025493,6.524299515157308,9.014532143862334,0.11038260576012277,1.3681305989168853,1.2072127702520994,1.355633672465607,1.3317863964592191,113.44625970070301,119.6979636939468,115.22919053567851,119.96192021366141,0.16244545037182012,0.00031167581659370886,0.0018373858724489412,0.0003251780376241319,0.3251780376241319,0.00028427708138083636,0.0003037242996846638,0.0019770244071842364,0.00031784163029789766,0.00027571551218461243
min,,-85.5,0.00012,0.0006299999999999,0.0024321653872462,0.0044128393951318,0.2140357114881305,-401.19525468983977,-673.6555692666643,-482.6184317,-397.42722444842616,-86.9375,-85.40625,-86.0,-66.21875,0.1575698307228212,0.1426886809711086,21.46875,2.8125038146972656,21.75,12.531249523162842,-0.6805111645087426,-3.968750238418579,-6.71875,-3.069684188939944,-1.734580624291647,-2.5609739735588644,0.2197309588103016,-71.53125,-96.30208969116212,-70.93750762939453,-82.09375,0.1155399999999999,0.00058,0.01174,-87.18750762939453,-79.32813262939453,-86.46875762939453,-70.59375,0.1318494451519689,0.7382270159195898,1.103466410118281,0.9056855744429718,1.1565337786521972,43.45713519398432,32.275504378353546,43.76069429125635,46.37657738729198,0.9473684210525856,0.0002799999999999,9.999999999976694e-05,0.0002799999999999,0.2799999999999,0.00026,0.00024,9.999999999976694e-05,0.00024,0.0002199999999999
25%,,-54.09375381469727,0.0085599999999999,0.0034974999999999997,0.0583186064125202,0.0605076323308362,0.8477479991486786,-103.62768551180766,-104.86493992497304,-102.40688532984268,-116.97892636710642,-54.07031631469727,-54.21875381469727,-54.93750381469727,-50.328125,0.9750678581438129,0.9792099589406412,75.47656583786011,71.4062557220459,75.15625476837158,74.85156536102295,0.961070658613392,35.625000953674316,35.765625,-0.4733684684529838,-0.7201990105244471,-0.664493608824472,0.9456727774047636,-44.5,-42.80469004313151,-44.39062881469727,-48.875000953674316,0.16226749999999995,0.28043749999999995,0.02994,-55.101565361022956,-57.45312849680583,-58.70312881469727,-61.59375,0.8509473617346766,3.580951287650687,3.247560199139423,3.560319001362397,3.0686689606413564,294.8690448344798,250.75295430373626,284.4069963982205,303.0692471254351,1.063244047618978,0.00085,0.0008666666666668501,0.0008799999999999,0.8799999999999,0.00078,0.00078,0.00078000000000045,0.00078,0.000719999999999975
50%,,-51.00000381469727,0.0266999999999999,0.0224299999999999,0.1728964268071794,0.1813919942300751,0.90954773820509,-85.73116228067197,-87.24251896784634,-84.82655805,-95.9960649495776,-50.01562690734863,-50.37500381469727,-50.90625381469727,-46.125,0.9960480921645295,0.9987318079344074,83.1250057220459,80.95312849680582,83.90625,87.06250381469727,0.9993841613330438,44.59375381469727,44.93750381469727,0.05400183185043795,-0.2513816617226339,-0.15426588304562305,0.9731068671499314,-40.12500381469727,-38.505210367838544,-40.40625381469727,-44.8125,0.1938499999999999,0.4324599999999999,0.04472,-51.09375190734863,-52.812502543131515,-54.59375381469727,-57.9375,0.909478888021202,4.406720170788004,3.8263168634193794,4.34125331148757,3.958014309410178,368.21334078954084,322.6014363073262,363.35876177915424,390.48972073348637,1.0980392156862615,0.001,0.0010200000000001,0.00103,1.03,0.00092,0.00093,0.00093333333333335,0.00094,0.0008599999999999
75%,,-46.96875,0.04024,0.033879999999999855,0.2647403774389594,0.2770787767692402,0.95387317412179,-70.35011259026328,-68.90455903487221,-69.2941510044077,-80.00485166589822,-45.6875,-46.15625190734863,-46.60937690734863,-42.640625,1.0161484078913277,1.0189919640911778,90.50000381469728,89.07031917572021,91.42187690734863,96.63282012939452,1.034505287806193,50.539065361022956,51.01562881469727,0.6672800523195731,0.29438207883849127,0.4643894731674943,0.9926589549965832,-35.65625,-34.14062738418579,-36.18750190734863,-39.171875953674316,0.23283374999999998,0.6311599999999999,0.04753,-46.82812881469727,-48.223961194356285,-50.51562690734863,-49.359375,0.944972675408608,5.1938990971287105,4.616130682220523,5.20235115619289,4.8721936931074845,461.69318824560463,417.85724038890703,454.3790923560107,475.6946800792321,1.1627375087966152,0.0011599999999999,0.001176249999999725,0.0011999999999999,1.1999999999999,0.0010799999999999,0.00107125,0.00108166666666665,0.00109125,0.0009799999999999
