,cell_label,3db_freq_chirp,low_freq_impedance_chirp,peak_freq_chirp,peak_impedance_chirp,peak_ratio_chirp,phase_low_chirp,phase_peak_chirp,sync_freq_chirp,total_inductive_phase_chirp
count,717,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
unique,717,,,,,,,,,
top,Q19.26.014.11.04.01,,,,,,,,,
freq,1,,,,,,,,,
mean,,11.43837188305294,62.247110882904366,0.7202566370918957,69.24412203783291,1.0138878169937735,-0.03974475934238907,-0.07341766158958275,0.5519363656856872,0.00015183503265287429
std,,6.171248132656371,344.9543793008168,0.6438579183678574,380.61794175686504,0.05685299261309679,0.059506899212471515,0.08760795196598153,2.232900406355851,0.0005622234771219514
min,,1.603016878,0.0340017080307006,0.4001024262210826,0.0347105376422405,1.0,-0.60838237,-0.657930728,0.387961553,0.0
25%,,7.226850073619976,0.0851812064647674,0.4001024262210826,0.0852775499224662,1.0004309415817263,-0.05531541071832175,-0.09137666970491404,0.4001024262210826,0.0
50%,,10.30263747519526,0.120899811387062,0.4001192355321922,0.1212120279669761,1.001047968864441,-0.0364323854446411,-0.051856555044651,0.4001024262211289,0.0
75%,,14.403687343960653,0.21384529769420618,0.9002304589976441,0.21475221961736674,1.005057454109192,-0.01599883316826605,-0.03247359022498125,0.400119236,0.0
max,,39.96022981883525,3321.40397,6.5016644260933445,3443.693737,1.859160281,0.17267607152462,0.156838604,39.26005057294373,0.0043609380028315
