,cell_label,fi_fit_slope,input_resistance,input_resistance_mohm_qc,input_resistance_ss,rheobase_i,sag,sag_area,sag_area_depol,sag_depol,sag_ratio,sag_tau,sag_tau_depol,tau,v_baseline,v_baseline_FI,v_baseline_chirp,v_baseline_short_square,vm_for_sag
count,717,592.0,636.0,640.0,636.0,639.0,636.0,592.0,577.0,577.0,45.0,53.0,138.0,630.0,636.0,48.0,38.0,11.0,592.0
unique,717,,,,,,,,,,,,,,,,,,
top,Q19.26.014.11.04.01,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,
mean,,0.18197753637011654,138.54704625724227,200.691010028125,129.44330338973182,178.06259652557134,0.0649964614632127,0.11424520504929654,0.3927217329835741,0.0866462130236788,1.109319471911111,0.22284008994092766,0.1406994829723853,0.24657616790162148,-75.20749899054071,-71.131575743125,-71.16569600631578,-60.680858611818174,-87.14115723403725
std,,0.2027820041950536,283.28553904393954,768.7978579339859,264.5606809404917,121.46616212088452,0.10638683863166137,0.45845268772308967,0.859659677781407,0.1223147488808789,0.19558999381164344,0.6634058719490565,0.22485033690464243,5.81297398420762,7.098097337227216,7.121005001861335,8.406828464168246,6.046243182944993,7.147179208401585
min,,-0.1063591802356474,-639.2188668251038,-14425.182208,-46.79586843414796,2.5,-0.06300303,0.0,0.0,-0.0541730150580406,0.645696691,-0.2305243430741733,0.0080805533694879,0.0033782014905487,-97.98702239990234,-81.934021,-82.70392805,-70.79053497,-112.81250762939452
25%,,0.0890160179511722,61.12037102292471,95.14204600000001,59.751860367732036,90.0,0.01604880206286905,0.0,0.0,0.0143716419115662,1.062671913,0.0037008858194058,0.03299131450761568,0.0075493130539393,-80.06716728210449,-75.8026657125,-76.6056699225,-64.194091795,-91.07031440734863
50%,,0.13695651993754088,83.84760096669197,132.468416,80.87188490398219,160.0,0.03463510610163205,0.0,0.0,0.0465143285691738,1.091047065,0.0581617045550929,0.07267822505324545,0.0100393672005459,-77.02138900756836,-73.934070585,-74.0492932,-62.72912598,-87.23437881469727
75%,,0.18898686991102942,124.89785626530646,215.615748,116.16848631217016,239.9999847412109,0.06512063369154922,0.0,0.5652546875005653,0.1150674000382423,1.127199353,0.1824207845685375,0.14955027230450627,0.015928406235424148,-71.60994148254395,-68.8087348925,-67.74072034,-55.353618624999996,-83.50000762939453
max,,2.250002145769258,3257.325642,5208.219647999999,2972.806116,1019.9999389648438,0.729242205619812,3.639015625003639,11.331372500011332,1.082200050354004,2.235185528,4.7334381085346005,1.6470851056632922,145.91896048228145,-39.52538299560547,-51.741745,-51.28094842,-51.99853516,-46.4375
