,cell_label,Neighborhood_label,Neighborhood_name,Neighborhood_bootstrapping_probability,Neighborhood_aggregate_probability,Neighborhood_correlation_coefficient,Class_label,Class_name,Class_bootstrapping_probability,Class_aggregate_probability,Class_correlation_coefficient,Subclass_label,Subclass_name,Subclass_bootstrapping_probability,Subclass_aggregate_probability,Subclass_correlation_coefficient,Group_label,Group_name,Group_bootstrapping_probability,Group_aggregate_probability,Group_correlation_coefficient,Cluster_label,cluster_alias,Cluster_bootstrapping_probability,Cluster_aggregate_probability,Cluster_correlation_coefficient
count,717,717,717,717.0,717.0,717.0,717,717,717.0,717.0,717.0,717,717,717.0,717.0,717.0,717,717,717.0,717.0,717.0,717,717,717.0,717.0,717.0
unique,717,1,1,,,,2,2,,,,8,8,,,,17,17,,,,79,79,,,
top,QN22.26.002.14.05.04,CS20250428_NEIGH_0002,Subpallium GABA,,,,CS20250428_CLASS_0003,CN LGE GABA,,,,CS20250428_SUBCL_0029,STR D2 MSN,,,,CS20250428_GROUP_0049,STRd D1 Matrix MSN,,,,CS20250428_CLUST_0892,Macaque-251,,,
freq,1,717,717,,,,564,564,,,,262,262,,,,113,113,,,,61,61,,,
mean,,,,0.9990794979079498,0.9990794979079498,0.6745073919107392,,,0.9921199442119945,0.991405439330544,0.6509835425383542,,,0.989023709902371,0.9809913528591353,0.5847404463040446,,,0.9379916317991633,0.9198740585774059,0.5334465829846584,,,0.8481032078103208,0.7832535564853557,0.4177154811715481
std,,,,0.011085779595714421,0.011085779595714421,0.09081308917746238,,,0.04663206878429294,0.05018515756879482,0.09550663615688036,,,0.05433339812803162,0.0768567788178908,0.10525666878020395,,,0.12680929656471776,0.14380705016812637,0.10693643183075249,,,0.18136824928095183,0.21640825756735657,0.10346158314743158
min,,,,0.81,0.81,0.3155,,,0.51,0.4452,0.3104,,,0.51,0.4452,0.2437,,,0.44,0.4189,0.3208,,,0.25,0.1676,0.0905
25%,,,,1.0,1.0,0.6297,,,1.0,1.0,0.6006,,,1.0,1.0,0.5171,,,0.96,0.91,0.4542,,,0.72,0.6,0.3492
50%,,,,1.0,1.0,0.6951,,,1.0,1.0,0.6711,,,1.0,1.0,0.5987,,,1.0,1.0,0.5325,,,0.95,0.86,0.4218
75%,,,,1.0,1.0,0.7398,,,1.0,1.0,0.7215,,,1.0,1.0,0.6634,,,1.0,1.0,0.6093,,,1.0,0.99,0.4894
max,,,,1.0,1.0,0.8288,,,1.0,1.0,0.8109,,,1.0,1.0,0.8028,,,1.0,1.0,0.7962,,,1.0,1.0,0.7282
