,cell_label,23_Sholl_PC0,23_Sholl_PC1,2_Sholl_PC0,2_Sholl_PC1,3_Sholl_PC0,3_Sholl_PC1,axon_bias_dorsal,axon_bias_medial,axon_exit_distance,axon_exit_theta_coronal,axon_extent_dorsal,axon_extent_medial,axon_max_branch_order,axon_max_euclidean_distance,axon_max_path_distance,axon_mean_contraction,axon_num_branches,axon_soma_percentile_dorsal,axon_soma_percentile_medial,axon_total_length,basal_dendrite_bias_dorsal,basal_dendrite_bias_medial,basal_dendrite_calculate_number_of_stems,basal_dendrite_extent_dorsal,basal_dendrite_extent_medial,basal_dendrite_max_branch_order,basal_dendrite_max_euclidean_distance,basal_dendrite_max_path_distance,basal_dendrite_mean_contraction,basal_dendrite_mean_diameter,basal_dendrite_num_branches,basal_dendrite_soma_percentile_dorsal,basal_dendrite_soma_percentile_medial,basal_dendrite_stem_exit_MedialLateral,basal_dendrite_stem_exit_dorsal,basal_dendrite_stem_exit_ventral,basal_dendrite_total_length,basal_dendrite_total_surface_area,soma_surface_area
count,717,21.0,21.0,21.0,21.0,151.0,151.0,21.0,21.0,21.0,149.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0
unique,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,Q19.26.014.11.04.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,1.9056079465718497e-12,-8.661854302599316e-14,6.063298011819521e-13,-6.496390726949488e-13,-1.2046287440701036e-14,1.01640550280915e-13,-17.37373496488692,81.49879885374605,6.308565673650052,0.5332498999359511,560.2285338746905,558.9851121717292,30.0,376.8271625417957,1245.9001961028164,0.7826332077247071,439.2857142857143,0.4530881286293647,0.35233874589033853,20710.03810915119,5.0553968324220415,41.586916878802015,5.4635761589403975,332.0625359395558,337.750432904016,6.688741721854305,229.71429692968724,294.2834129191952,0.8196183071044428,0.5838954631219674,55.52980132450331,0.47916288798431717,0.3868749843667822,0.6553912055567684,0.18042740923535622,0.16418138520787526,4059.9907897415137,7569.756772198641,579.471262909738
std,,2073.5893194178016,906.9476119445112,1702.6325519537766,922.0112394778828,240.4041849203068,130.98296230484289,97.30141269459365,71.70506275805734,11.638952484064264,0.18009234998614362,298.57897860791826,237.44087938317344,18.64403389827427,174.38458866470543,1014.5787788839008,0.053916533297858685,317.75857861860203,0.14184537575936015,0.08991844241904291,14773.877131084138,60.59569543547342,39.2924189213266,1.9825062738432417,109.91142148653388,112.47707635649382,1.8839158879439608,72.94488479686663,123.82710756317582,0.049076982719481896,0.0741861455927086,25.35923446452853,0.1437231416575318,0.09064927161470225,0.2277497214482335,0.1569320330391035,0.15174598233890427,1914.9971021922572,4353.31413710362,316.07216430239004
min,,-2257.455859123785,-1375.1481913443,-1926.0745761852888,-1299.948998011421,-515.1558988377066,-294.6831892424158,-256.40964304084355,2.1730557933680927,0.0,0.0917171364769203,248.84305860630684,208.2517157569649,10.0,166.19999627172095,524.6843506885883,0.717548615478775,63.0,0.2405628002745367,0.1867794947265145,3565.647975689798,-230.4290758100724,0.2483656050954152,1.0,70.31881660616841,73.18456131436895,4.0,72.81872238648536,95.98020567461164,0.6509097334142743,0.4453869986168741,9.0,0.0811881188118811,0.1066499372647427,0.0,0.0,0.0,317.22103742786254,549.0499903664206,190.11647223881187
25%,,-1567.6093714240506,-667.2212864432483,-1199.8855663687175,-659.2475916760322,-135.09084730752173,-74.38322231601703,-52.92490950102729,23.40251758223445,0.0,0.4284790404340208,379.8301629253583,395.7227630984033,18.0,275.2381241550668,624.3076137200437,0.7374461364422746,159.0,0.3662871424604276,0.3095044127630686,8594.5737084773,-29.815958219558127,12.326966872796646,4.0,270.748243646995,273.24139057802824,6.0,194.5843262911598,240.34650490098642,0.7853183832905228,0.5238559197816048,43.0,0.3912867444033813,0.3442583732057416,0.5,0.0,0.0,3054.8936080956,5037.9776081186765,369.11643470652314
50%,,-683.5503636080466,-196.30355086876807,-592.3433990105173,-185.4226299415002,-15.61558570618763,-9.12753372098348,-14.07814703683107,64.32904197257469,0.0,0.5381454533412953,474.1641176720004,504.382961841028,24.0,293.4691843658542,1019.0209559681056,0.7714785186249139,337.0,0.439835541343079,0.3596431022649279,16537.95318235355,5.643118800882803,29.4798,5.0,324.0292696960305,340.93548309506764,6.0,223.84649472783792,271.68916491183035,0.8262737606508096,0.5692332255979314,53.0,0.4710553278688524,0.3986599664991624,0.6666666666666666,0.1666666666666666,0.1666666666666666,3855.3557264997166,6913.585443930146,497.4933637737075
75%,,1064.4066837666392,423.351835996601,799.7210407801863,570.3684663908743,122.28598499657704,64.23826237211966,22.401882607578955,145.3117395289924,11.074676606113444,0.6671500012730818,671.6451998237844,761.0911542588123,35.0,501.5952437605739,1145.3848541592718,0.8213130567729228,749.0,0.5378410846061438,0.4215623572407492,27256.25709690748,38.93423711769583,59.48967564862363,6.5,382.9511832693606,388.4675844024149,7.0,248.05499206013542,304.03646790276036,0.858175759844962,0.6312326012981002,63.0,0.5593199705937966,0.45754917552836855,0.8,0.25,0.25,4802.699769542416,9095.172486624688,663.1874345181736
