,cell_label,brain_section_label,brain_section_barcode,segmentation_job_id,x_experiment,y_experiment,qc_pass,dataset_label,feature_matrix_label,abc_sample_id
count,1355089,1355089,1355089.0,1355089,1355089.0,1355089.0,1355089,1355089,1355089,1299927
unique,1355089,46,,1,,,2,1,1,1299927
top,1382042951_abmkfncc-1-20250227,CJ23.56.004.CX.43.01.07,,xenium_cell_segmentation_kit_v1,,,True,HMBA-Xenium-CJ23.56.004-BG,Xenium-CJ23.56.004-BG,c8c08d8c-5147-4d03-b6f4-ca7bf4d0b8d1
freq,1,63164,,1355089,,,1299927,1355089,1355089,1
mean,,,1384448198.0670812,,5971.997096400951,8421.842500888159,,,,
std,,,2432234.1778373285,,1836.4122584882823,2310.754185556975,,,,
min,,,1382033286.0,,997.6574096679688,2071.437255859375,,,,
25%,,,1382036910.0,,4600.95947265625,6631.52490234375,,,,
50%,,,1386591529.0,,5946.6884765625,8352.853515625,,,,
75%,,,1386593056.0,,7385.8154296875,10147.4716796875,,,,
max,,,1388175626.0,,11437.7802734375,14616.7900390625,,,,
