,cell_label,hierarchy_consistent,Neighborhood_label,Neighborhood_name,Neighborhood_bootstrapping_probability,Neighborhood_aggregate_probability,Neighborhood_correlation_coefficient,Class_label,Class_name,Class_bootstrapping_probability,Class_aggregate_probability,Class_correlation_coefficient,Subclass_label,Subclass_name,Subclass_bootstrapping_probability,Subclass_aggregate_probability,Subclass_correlation_coefficient,Group_label,Group_name,Group_bootstrapping_probability,Group_aggregate_probability,Group_correlation_coefficient,Cluster_label,Cluster_name,Cluster_alias,Cluster_bootstrapping_probability,Cluster_aggregate_probability,Cluster_correlation_coefficient
count,1355089,1355089,1355089,1355089,1355089.0,1355089.0,1355089.0,1355089,1355089,1355089.0,1355089.0,1355089.0,1355089,1355089,1355089.0,1355089.0,1355089.0,1355089,1355089,1355089.0,1355089.0,1355089.0,1355089,1355089,1355089,1355089.0,1355089.0,1355089.0
unique,1355089,2,5,5,,,,13,13,,,,35,35,,,,57,57,,,,1323,1323,1323,,,
top,1382042951_abmkfncc-1-20250227,True,Nonneuron,Nonneuron,,,,CN LGE GABA,CN LGE GABA,,,,Oligodendrocyte,Oligodendrocyte,,,,Oligo OPALIN,Oligo OPALIN,,,,Marmoset-87,Marmoset-87,Marmoset-87,,,
freq,1,1347949,763982,763982,,,,486502,486502,,,,307719,307719,,,,218834,218834,,,,106820,106820,106820,,,
mean,,,,,0.991495340896428,0.991495340896428,0.5340571853952027,,,0.9854269498165803,0.9854269498165803,0.5340778627086487,,,0.9753005226962952,0.9753005226962952,0.5340954141019519,,,0.9529295787951936,0.9529295787951936,0.534096990751161,,,,0.8774852795646632,0.8774852795646632,0.5341205447022299
std,,,,,0.04931790631838273,0.04931790631838273,0.14910522979614085,,,0.06448392054249998,0.06448392054249998,0.14906466966563245,,,0.08173642964823685,0.08173642964823685,0.14903176620863895,,,0.10936840762105249,0.10936840762105249,0.14900369239477093,,,,0.16392653568911736,0.16392653568911736,0.1489031859452985
min,,,,,0.17,0.17,-0.0329,,,0.16,0.16,-0.0336,,,0.16,0.16,-0.0336,,,0.16,0.16,-0.0336,,,,0.14,0.14,-0.0336
25%,,,,,1.0,1.0,0.4338,,,1.0,1.0,0.4338,,,1.0,1.0,0.4339,,,0.98,0.98,0.4339,,,,0.8,0.8,0.4339
50%,,,,,1.0,1.0,0.5431,,,1.0,1.0,0.5431,,,1.0,1.0,0.5431,,,1.0,1.0,0.5431,,,,0.96,0.96,0.5431
75%,,,,,1.0,1.0,0.6506,,,1.0,1.0,0.6506,,,1.0,1.0,0.6506,,,1.0,1.0,0.6506,,,,1.0,1.0,0.6505
max,,,,,1.0,1.0,0.8607,,,1.0,1.0,0.8607,,,1.0,1.0,0.8607,,,1.0,1.0,0.8607,,,,1.0,1.0,0.8607
