,cell_label,brain_section_label,x_rotated_um,y_rotated_um,slab_plane_label,x_slab_mm,y_slab_mm
count,1355089,1355089,1355089.0,1355089.0,1355089,1355089.0,1355089.0
unique,1355089,46,,,46,,
top,1382042951_abmkfncc-1-20250227,CJ23.56.004.CX.43.01.07,,,CJ23.56.004.CX.43.Plane.01,,
freq,1,63164,,,63164,,
mean,,,4243.1497900244585,-8134.470334631708,,23.346908985652313,14.471814566301891
std,,,1916.7005953696973,4981.907504223276,,1.9243273428918943,2.164095822743102
min,,,-42.19648560655151,-17063.61132827024,,19.06804838344273,10.05886384601929
25%,,,2708.7251388608784,-10950.50327978156,,21.811227218032897,12.72251739546053
50%,,,4035.576752379586,-9079.672565102614,,23.139424738264285,14.290901827869238
75%,,,5649.322050504254,-7367.854754045685,,24.79720488930373,16.106857550497956
max,,,9981.955333040813,10742.242592989176,,28.25238052853388,21.12554101224943
