,brain_section_label,brain_section_barcode,brain_section_thickness,brain_section_plane_of_section,brain_section_ordinal,brain_section_depth,section_set_label,section_set_ordinal,section_set_base_ordinal,brain_block_label,brain_block_number,brain_slab_label,brain_slab_ordinal,brain_slab_thickness,hemisphere,brain_division_label,brain_division_ordinal,donor_label,slab_plane_ordinal,slab_plane_label,slab_plane_order
count,46,46.0,46.0,46,46.0,46.0,46,46.0,46.0,46,46.0,46,46.0,46.0,46,46,46.0,46,46.0,46,46.0
unique,46,,,1,,,46,,,3,,3,,,1,1,,1,,46,
top,CJ23.56.004.CX.42.01.06,,,coronal (rostral to caudal),,,CJ23.56.004.CX.42.01,,,CJ23.56.004.CX.42,,CJ23.56.004.CX.42,,,right,CJ23.56.004.CX,,CJ23.56.004,,CJ23.56.004.CX.42.Plane.01,
freq,1,,,46,,,1,,,19,,19,,,46,46,,46,,1,
mean,,1385154905.9565217,10.0,,193.47826086956522,1934.7826086956522,,10.304347826086957,187.08695652173913,,42.869565217391305,,42.869565217391305,5.0,,,1.0,,10.304347826086957,,14297.260869565218
std,,2711428.2641061167,0.0,,119.5517069222323,1195.5170692223228,,5.97725156170326,119.54503123406519,,0.8328984372438725,,0.8328984372438725,0.0,,,0.0,,5.97725156170326,,82.32008929446856
min,,1382033286.0,10.0,,7.0,70.0,,1.0,1.0,,42.0,,42.0,5.0,,,1.0,,1.0,,14201.0
25%,,1382041469.5,10.0,,92.75,927.5,,5.25,86.0,,42.0,,42.0,5.0,,,1.0,,5.25,,14214.25
50%,,1386592320.5,10.0,,187.0,1870.0,,10.0,181.0,,43.0,,43.0,5.0,,,1.0,,10.0,,14307.0
75%,,1388126560.0,10.0,,282.25,2822.5,,14.75,276.0,,44.0,,44.0,5.0,,,1.0,,14.75,,14402.5
max,,1388175626.0,10.0,,427.0,4270.0,,22.0,421.0,,44.0,,44.0,5.0,,,1.0,,22.0,,14414.0
