,cell_label,x_ccf_mm,y_ccf_mm,z_ccf_mm
count,4260113,4260113.0,4260113.0,4260113.0
unique,4260113,,,
top,1384732733_104371-20250227,,,
freq,1,,,
mean,,-17.52340271180905,5.419874343816093,0.6132948937740148
std,,7.235227392508371,8.753883398399362,8.265304381627114
min,,-35.40286163393321,-24.845541251292715,-20.56653522871744
25%,,-23.147119655147264,1.849520932292947,-5.910633665394812
50%,,-17.044225471969554,5.433672784481757,0.3627966100394957
75%,,-11.625830788853648,11.25706439265366,6.791181445454868
max,,2.2385781547243795,26.27051555064591,23.912410719656137
