,brain_section_label,brain_section_barcode,brain_section_thickness,brain_section_plane_of_section,brain_section_ordinal,brain_section_depth,section_set_label,section_set_ordinal,section_set_base_ordinal,brain_block_label,brain_block_number,brain_slab_label,brain_slab_ordinal,brain_slab_thickness,hemisphere,brain_division_label,brain_division_ordinal,donor_label,slab_plane_ordinal,slab_plane_label,slab_plane_order
count,95,95.0,95.0,95,95.0,95.0,95,95.0,95.0,95,95.0,95,95.0,95.0,95,95,95.0,95,95.0,95,95.0
unique,95,,,3,,,95,,,34,,7,,,1,2,,1,,19,
top,H22.30.001.BS.3.01.01.02,,,coronal (rostral to caudal),,,H22.30.001.BS.3.01.01,,,H22.30.001.CX.13.01,,H22.30.001.CX.17,,,right,H22.30.001.CX,,H22.30.001,,H22.30.001.CX.17.Plane.05,
freq,1,,,85,,,1,,,3,,29,,,95,91,,95,,10,
mean,,1326166402.5684211,11.810526315789474,,206.4,2348.757894736842,,4.726315789473684,204.33684210526314,,4.3052631578947365,,16.6,4.0,,,1.0421052631578946,,4.6,,12085.652631578947
std,,24859668.074552428,2.0015671351819644,,87.67146118539932,885.2758761717677,,1.812733361430097,87.6633563910908,,2.7330665662480875,,3.5592253520089137,0.0,,,0.2018947204943553,,1.8588488773798073,,1719.9974626924695
min,,1304618482.0,10.0,,36.0,504.0,,1.0,35.0,,1.0,,2.0,4.0,,,1.0,,1.0,,11301.0
25%,,1308461519.5,10.0,,143.0,1512.0,,3.0,141.0,,2.0,,16.0,4.0,,,1.0,,3.0,,11607.0
50%,,1322691282.0,10.0,,181.0,2440.0,,5.0,179.0,,4.0,,17.0,4.0,,,1.0,,5.0,,11705.0
75%,,1326494487.5,14.0,,252.0,3420.0,,7.0,250.0,,6.5,,19.0,4.0,,,1.0,,7.0,,11905.0
max,,1426549599.0,14.0,,344.0,3542.0,,7.0,341.0,,10.0,,21.0,4.0,,,2.0,,7.0,,20203.0
