,brain_section_label,brain_section_barcode,brain_section_thickness,brain_section_plane_of_section,brain_section_ordinal,brain_section_depth,section_set_label,section_set_ordinal,section_set_base_ordinal,brain_block_label,brain_block_number,brain_slab_label,brain_slab_ordinal,brain_slab_thickness,hemisphere,brain_division_label,brain_division_ordinal,donor_label,slab_plane_ordinal,slab_plane_label,slab_plane_order
count,86,86.0,86.0,86,86.0,86.0,86,86.0,86.0,86,86.0,86,86.0,86.0,86,86,86.0,86,86.0,86,86.0
unique,86,,,2,,,86,,,16,,5,,,1,1,,1,,28,
top,QM23.50.001.CX.42.01.03.02,,,coronal (rostral to caudal),,,QM23.50.001.CX.42.01.03,,,QM23.50.001.CX.43.01,,QM23.50.001.CX.45,,,right,QM23.50.001.CX,,QM23.50.001,,QM23.50.001.CX.44.Plane.01,
freq,1,,,81,,,1,,,7,,24,,,86,86,,86,,4,
mean,,1293094096.4418604,10.0,,281.9418604651163,2819.4186046511627,,5.941860465116279,279.7093023255814,,2.2790697674418605,,44.30232558139535,6.058139534883721,,,1.0,,5.872093023255814,,14436.10465116279
std,,11861246.000588594,0.0,,168.46381036755866,1684.638103675587,,3.4105533487994055,168.41097255569358,,1.0916922944051015,,1.1888676514859247,0.9499801999520607,,,0.0,,3.4497962825716058,,119.16730987489001
min,,1291809799.0,10.0,,33.0,330.0,,1.0,31.0,,1.0,,42.0,4.0,,,1.0,,1.0,,14201.0
25%,,1291812397.25,10.0,,133.0,1330.0,,3.0,131.0,,1.0,,43.0,5.0,,,1.0,,3.0,,14311.0
50%,,1291814108.5,10.0,,234.0,2340.0,,5.0,231.0,,2.0,,44.0,6.0,,,1.0,,5.0,,14409.0
75%,,1291815974.5,10.0,,433.0,4330.0,,9.0,431.0,,3.0,,45.0,7.0,,,1.0,,9.0,,14509.0
max,,1401811732.0,10.0,,634.0,6340.0,,13.0,631.0,,4.0,,46.0,7.0,,,1.0,,13.0,,14611.0
