,donor_label,donor_age_value,donor_age_unit,age_at_death_reference_point,donor_age,donor_species,donor_sex,species_genus,species_scientific_name,donor_nhash_id
count,70,70.0,70,70,70,70,70,70,70,70
unique,70,,1,1,19,2,2,1,2,70
top,QN22.26.025,,years,birth,6 yrs,NCBITaxon:9545,Female,Macaque,Macaca nemestrina,DO-MXIC1385
freq,1,,70,70,9,59,47,70,59,1
mean,,9.142857142857142,,,,,,,,
std,,5.013852446583132,,,,,,,,
min,,2.0,,,,,,,,
25%,,5.0,,,,,,,,
50%,,8.0,,,,,,,,
75%,,13.75,,,,,,,,
max,,22.0,,,,,,,,
