,cell_label,adapt_hero,adapt_mean,avg_rate_hero,avg_rate_max,avg_rate_rheo,first_isi_inv_hero,first_isi_inv_rheo,first_isi_rheo,ir_late_hero,ir_late_mean,isi_cv_hero,isi_cv_mean,last_spike_t_hero,latency_hero,latency_rheo,threshold_i_ramp
count,717,531.0,569.0,592.0,592.0,592.0,563.0,276.0,7.0,421.0,525.0,563.0,584.0,592.0,592.0,592.0,236.0
unique,717,,,,,,,,,,,,,,,,
top,Q19.26.014.11.04.01,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,
mean,,0.0407907629195495,0.049190235329517384,11.87668918918919,27.83445945945946,2.425675675675676,21.997383006173482,10.429163023110586,0.10662857142857143,0.12429531586521493,0.13401508707310306,0.16430071683210729,0.18155455089452338,0.8183248733108109,0.08530692567567563,0.3443182094594595,170.51470673012417
std,,0.06859246814294137,0.08786640722632304,12.596698618794626,29.842785381080468,6.424720885749012,24.066915161673943,24.44142823072294,0.12878261210641903,0.12230255317827507,0.10565464646904667,0.16426085750043667,0.15933649740502265,0.27906026321421507,0.0658162985462015,0.22511244120670906,102.93203592802541
min,,-0.273996509598606,-0.5672418515475232,0.9999999999999998,0.9999999999999998,0.9999999999999996,1.077446881868724,1.2746972594008923,0.0101,0.0025236593059961,0.0153815952141385,0.0,0.0,0.0062349999999999,9.9999999999989e-05,0.00328,5.312499761581421
25%,,0.00883787588646795,0.0124787706054617,5.999999999999997,13.0,1.0,9.648820185019012,2.69699285752387,0.013500000000000002,0.0539268235842453,0.0742560080800498,0.07612610523157325,0.09443661698422233,0.8693750000000002,0.0437549999999999,0.17060999999999998,95.52083333333334
50%,,0.0231935730435907,0.0284045403853819,9.0,20.0,1.0000000000000002,13.667737306088991,3.527225718618464,0.03486,0.0931163954943692,0.1074979637682974,0.1282259899382675,0.14181152452331958,0.9378,0.0738125,0.2953475,162.5
75%,,0.04720372595772205,0.0532910244607092,12.25,29.0,2.0000000000000004,22.212389520251854,6.029008194282434,0.17371999999999999,0.1483435942538832,0.15317402849416,0.2081884240300645,0.21022077429118452,0.973955,0.10847875,0.46577875000000013,222.0520833333333
max,,0.8072007972851938,0.9141209090075946,123.0,244.00000000000003,101.0,284.90028490028385,249.37655860348696,0.327,0.9689198265860662,0.8391087582498357,1.4042492789099323,1.4730525524823226,0.9998,0.7464600000000001,0.992125,676.7916666666666
