,cell_label,total_counts,total_counts_genes,total_counts_control_probe,total_counts_genomic_control,total_counts_control_codeword,total_counts_unassigned_codeword,total_counts_deprecated_codeword,cell_area,nucleus_area,n_nuclei_in_cell,segmentation_method,segmentation_job_id
count,1355089,1355089.0,1355089.0,1355089.0,1355089.0,1355089.0,1355089.0,1355089.0,1355089.0,1350102.0,1355089.0,1355089,1355089
unique,1355089,,,,,,,,,,,3,1
top,1382042951_abmkfncc-1-20250227,,,,,,,,,,,Segmented by interior stain (18S),10X cell segmentation kit - default
freq,1,,,,,,,,,,,1309993,1355089
mean,,363.72634048390915,363.3557921287827,0.26340041133829584,0.0,0.020491642984335347,0.08665630080385864,0.0,96.76971420208217,51.853993491540585,0.9974474001338658,,
std,,372.05093721000395,371.74632973477384,0.6185708778168983,0.0,0.14828677966900086,0.3309358004396902,0.0,51.73659008155222,26.397883985736158,0.07051593197466735,,
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032031323760748,1.1289062909781933,0.0,,
25%,,101.0,101.0,0.0,0.0,0.0,0.0,0.0,61.14156471937895,33.50593871623278,1.0,,
50%,,218.0,218.0,0.0,0.0,0.0,0.0,0.0,86.15812812745571,49.58156429976225,1.0,,
75%,,519.0,518.0,0.0,0.0,0.0,0.0,0.0,126.16656707972288,69.0439087562263,1.0,,
max,,6450.0,6443.0,23.0,0.0,4.0,7.0,0.0,1018.0025369524956,342.69079368934035,5.0,,
