,Group,cell count,UMI_counts_mean,UMI_counts_median,total_genes_mean,total_genes_median,doublet_score_mean,doublet_score_median
count,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0
unique,60,,,,,,,
top,AMY-SLEA-BNST D1 GABA,,,,,,,
freq,1,,,,,,,
mean,,17246.983333333334,28153.27315,25619.441666666666,5443.767783333334,5540.841666666666,0.10011666666666666,0.08803333333333334
std,,34930.17350759803,16655.719643003733,16994.924907731158,2035.5110794314796,2244.379468601939,0.05252702021919142,0.05904981139672421
min,,42.0,3913.351,3379.0,1802.681,1698.5,0.017,0.0
25%,,810.75,10844.2055,9204.5,3332.9680000000003,3250.5,0.04875,0.02975
50%,,2724.0,30018.3885,26302.5,6054.8315,5997.0,0.096,0.08
75%,,11882.25,41726.86925,35223.875,7083.9945,7117.625,0.14525,0.13625
max,,145491.0,61700.357,66140.0,10124.143,10679.0,0.228,0.24
