,Cluster,cell count,UMI_counts_mean,UMI_counts_median,total_genes_mean,total_genes_median,doublet_score_mean,doublet_score_median
count,453,453.0,453.0,453.0,453.0,453.0,453.0,453.0
unique,453,,,,,,,
top,Human-1,,,,,,,
freq,1,,,,,,,
mean,,2284.3686534216336,26200.152271523184,23741.24944812362,5334.10359602649,5334.0022075055185,0.10270198675496689,0.09129580573951436
std,,8812.412012418952,16636.9767193708,17204.160714202706,1941.9049798645894,2115.344719181384,0.05412908138696134,0.06333410428477772
min,,13.0,3311.095,3032.0,1645.4,1551.0,0.006,0.0
25%,,95.0,11043.367,8668.5,3669.058,3415.5,0.058,0.04
50%,,280.0,24100.088,20244.5,5502.976,5500.5,0.096,0.08
75%,,1322.0,38151.089,34172.0,6867.878,6977.0,0.141,0.137
max,,141852.0,76481.206,81553.5,10232.292,10679.0,0.328,0.34
