,Group,cell count,UMI_counts_mean,UMI_counts_median,total_genes_mean,total_genes_median,doublet_score_mean,doublet_score_median
count,58,58.0,58.0,58.0,58.0,58.0,58.0,58.0
unique,58,,,,,,,
top,AMY-SLEA-BNST D1 GABA,,,,,,,
freq,1,,,,,,,
mean,,9453.120689655172,17299.563310344827,15628.887931034482,4355.934637931034,4375.629310344828,0.05539655172413793,0.03582758620689656
std,,16796.09727651101,11280.830516949216,10725.632216283318,1645.2578388443549,1798.1060444313537,0.06689031074910112,0.07957147023131557
min,,110.0,3144.614,2665.0,1643.165,1527.0,0.01,0.0
25%,,931.25,8185.03225,7324.75,2964.718,2879.5,0.026,0.0
50%,,2545.5,16637.0065,14796.75,4486.991,4474.75,0.0385,0.018500000000000003
75%,,6927.5,21981.199,19542.25,5471.16425,5523.5,0.06275,0.0375
max,,83269.0,46193.237,46141.0,7306.345,7799.5,0.385,0.465
