,Cluster,cell count,UMI_counts_mean,UMI_counts_median,total_genes_mean,total_genes_median,doublet_score_mean,doublet_score_median
count,388,388.0,388.0,388.0,388.0,388.0,388.0,388.0
unique,388,,,,,,,
top,Macaque-1,,,,,,,
freq,1,,,,,,,
mean,,1413.0953608247423,18498.382783505152,17160.274484536083,4591.039809278351,4583.775773195876,0.06838917525773196,0.05039948453608247
std,,4895.789340847151,12617.433714364457,12855.895652067218,1665.0267170983977,1767.7969519397623,0.06761981871110109,0.0780282377809885
min,,12.0,2899.145,2638.0,1575.767,1507.0,0.002,0.0
25%,,82.75,10516.053,9277.375,3424.60225,3326.875,0.027,0.01
50%,,258.0,15580.498500000002,13687.0,4439.9185,4407.0,0.051,0.028
75%,,724.75,22089.85175,20696.0,5567.882,5660.5,0.08725,0.06
max,,47923.0,68039.433,72654.0,9410.089,9413.0,0.462,0.567
