,Group,cell count,UMI_counts_mean,UMI_counts_median,total_genes_mean,total_genes_median,doublet_score_mean,doublet_score_median
count,56,56.0,56.0,56.0,56.0,56.0,56.0,56.0
unique,56,,,,,,,
top,AMY-SLEA-BNST GABA,,,,,,,
freq,1,,,,,,,
mean,,5589.875,16422.89275,14695.339285714286,4454.178178571428,4469.767857142857,0.028178571428571424,0.002803571428571429
std,,10716.509665952555,9804.106573820993,9097.035603129758,1605.3575059622317,1741.80822439912,0.021201292535947075,0.006958107482660767
min,,49.0,3456.98,2946.0,1765.817,1632.0,0.003,0.0
25%,,462.25,7979.73575,6667.0,2984.94725,2803.75,0.017,0.001
50%,,1446.0,15821.394,14716.5,4615.662,4701.0,0.025,0.002
75%,,6023.25,21799.86625,19539.125,5547.75825,5650.75,0.03225,0.002
max,,65164.0,41996.894,39029.5,7573.591,7724.5,0.153,0.053
