,Cluster,cell count,UMI_counts_mean,UMI_counts_median,total_genes_mean,total_genes_median,doublet_score_mean,doublet_score_median
count,594,594.0,594.0,594.0,594.0,594.0,594.0,594.0
unique,594,,,,,,,
top,Marmoset-1,,,,,,,
freq,1,,,,,,,
mean,,526.9915824915824,17712.79681144781,16242.087542087542,4723.003646464646,4746.909932659933,0.03986531986531987,0.011505050505050506
std,,1965.7258325699706,10094.735254129955,9771.42518213854,1476.6277423460936,1563.282651706165,0.050027770122759746,0.04426751584708948
min,,12.0,3163.28,2850.5,1601.376,1526.5,0.0,0.0
25%,,68.25,10544.82875,9653.875,3765.82825,3783.0,0.015,0.001
50%,,137.0,16364.0955,15033.25,4774.120000000001,4819.5,0.026,0.002
75%,,358.25,22472.718999999997,20608.125,5663.521,5729.125,0.043,0.004
max,,34662.0,61614.775,63343.5,8695.46,8962.5,0.581,0.63
