,Group,accession_group,short_name_group,embedding_set,CL:ID:group,spatial_regional_proportions,spatial_proportions_marmoset,spatial_proportions_macaque,spatial_proportions_human,spatial_description_manual,morphology_description,ephysiology_description,tf_marker_genes,combo_markers,binary_markers,curated_markers_to_primates,curated_markers_to_mouse,rationale_for_literature_link,tokens_group,display_order_group,literature_support,literature_name_short,literature_name_long,neurotransmitter,color_hex_group,color_group,Subclass,accession_subclass,CL:ID_subclass,tokens_subclass,display_order_subclass,color_hex_subclass,color_subclass,Class,embedding_set.1,accession_class,CL:ID_class,tokens_class,display_order_class,color_hex_class,color_class,Neighborhood,accession_neighborhood,CL:ID_neighborhood,tokens_neighborhood,Unnamed: 45,color_hex_neighborhood,color_neighborhood
count,61,61,61,61,58,61,56,58,60,0.0,0.0,0.0,0.0,0.0,0.0,6,41,3,61,61.0,37,20,2,0.0,61,0.0,61,61,35,61,61.0,61,0.0,61,61,61,20,61,61.0,61,0.0,61,61,19,61,61.0,61,0.0
unique,61,61,61,4,42,40,36,34,34,,,,,,,6,37,3,61,,13,19,2,,61,,36,36,19,36,,36,,12,4,12,8,12,,12,,4,4,2,4,,4,
top,STRd D1 Matrix MSN,CS20250428_GROUP_0049,STRd D1 Matrix,Interneuron,CL:0011005,STR:1.0,STR:1.0,STR:1.0,"STR:0.9, Adj:0.1",,,,,,,"DRD1, STXBP6",DRD1,"Mapping to the arkypallidal neuron based on location (GPe) and characterized molecularly by expression of GAD1/2, FOXP2, MEIS2, and NPAS1 and lacks expression of canonical pallidal markers NKX2-1 and LHX6, SST and PV.",STRd|D1 Matrix MSN,,Yao et al. 2023,LAMP5,D1 Islands of Calleja,,#1f77b4,,STR D2 MSN,CS20250428_SUBCL_0029,CL:4023029,STR|D2 MSN,,#253c8c,,CN LGE GABA,Interneuron,CS20250428_CLASS_0003,CL:0000095,CN|LGE|GABA,,#d0b83c,,Subpallium GABA,CS20250428_NEIGH_0002,CL:0000000,Subpallium|GABA,,#19613b,
freq,1,1,1,30,10,7,9,10,7,,,,,,,1,3,1,1,,11,2,1,,1,,4,4,4,4,,4,,11,30,11,5,11,,11,,37,37,15,37,,37,
mean,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,20.065573770491802,,,,,,,,6.770491803278689,,,,,,,2.360655737704918,,
std,,,,,,,,,,,,,,,,,,,,17.752934029806642,,,,,,,,,,,10.321286826197298,,,,,,,,3.0626428816897713,,,,,,,0.9134693369282828,,
min,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,
25%,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,12.0,,,,,,,,4.0,,,,,,,1.0,,
50%,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,21.0,,,,,,,,7.0,,,,,,,3.0,,
75%,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,29.0,,,,,,,,9.0,,,,,,,3.0,,
max,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,36.0,,,,,,,,12.0,,,,,,,4.0,,
