Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
human|OPC,macaque|OPC,1,Reciprocal_top_hit
human|OPC,marmoset|OPC,1,Reciprocal_top_hit
human|STR FS PTHLH-PVALB GABA,macaque|STR FS PTHLH-PVALB GABA,1,Reciprocal_top_hit
macaque|OPC,marmoset|OPC,1,Above_0.8
macaque|COP,marmoset|COP,1,Above_0.8
macaque|Microglia,marmoset|Microglia,1,Above_0.8
macaque|STR FS PTHLH-PVALB GABA,marmoset|STR FS PTHLH-PVALB GABA,1,Above_0.8
macaque|Astrocyte,marmoset|Astrocyte,1,Above_0.8
human|LAMP5-CXCL14 GABA,macaque|LAMP5-CXCL14 GABA,1,Reciprocal_top_hit
macaque|SN SOX6 Dopa,marmoset|SN SOX6 Dopa,1,Above_0.8
human|Ependymal,macaque|Ependymal,1,Reciprocal_top_hit
human|LAMP5-LHX6 GABA,macaque|LAMP5-LHX6 GABA,1,Reciprocal_top_hit
macaque|LAMP5-CXCL14 GABA,marmoset|LAMP5-CXCL14 GABA,1,Above_0.8
human|Ependymal,marmoset|Ependymal,1,Reciprocal_top_hit
human|Endo,macaque|Endo,1,Reciprocal_top_hit
human|STH PVALB-PITX2 Glut,macaque|STH PVALB-PITX2 Glut,1,Reciprocal_top_hit
human|COP,macaque|COP,1,Reciprocal_top_hit
human|LAMP5-CXCL14 GABA,marmoset|LAMP5-CXCL14 GABA,1,Reciprocal_top_hit
human|STR FS PTHLH-PVALB GABA,marmoset|STR FS PTHLH-PVALB GABA,1,Reciprocal_top_hit
human|SN-VTR CALB1 Dopa,macaque|SN SOX6 Dopa,1,Reciprocal_top_hit
macaque|Ependymal,marmoset|Ependymal,1,Above_0.8
human|SN SOX6 Dopa,macaque|SN SOX6 Dopa,1,Above_0.8
human|STR TAC3-PLPP4 GABA,macaque|STR TAC3-PLPP4 GABA,1,Reciprocal_top_hit
human|Microglia,macaque|Microglia,1,Reciprocal_top_hit
macaque|VLMC,marmoset|VLMC,1,Above_0.8
human|VIP GABA,macaque|VIP GABA,1,Reciprocal_top_hit
macaque|STRd Cholinergic GABA,marmoset|STRd Cholinergic GABA,1,Above_0.8
human|COP,marmoset|COP,1,Reciprocal_top_hit
human|Microglia,marmoset|Microglia,1,Reciprocal_top_hit
macaque|SMC,marmoset|SMC,1,Above_0.8
human|Astrocyte,marmoset|Astrocyte,1,Reciprocal_top_hit
macaque|STR SST-CHODL GABA,marmoset|STR SST-CHODL GABA,1,Above_0.8
human|Astrocyte,macaque|Astrocyte,1,Reciprocal_top_hit
human|STR LYPD6-RSPO2 GABA,macaque|STR LYPD6-RSPO2 GABA,1,Reciprocal_top_hit
macaque|VIP GABA,marmoset|VIP GABA,1,Above_0.8
macaque|STR TAC3-PLPP4 GABA,marmoset|STR TAC3-PLPP4 GABA,1,Above_0.8
human|GPi Core,macaque|GPi Core,1,Reciprocal_top_hit
human|SN SOX6 Dopa,marmoset|SN SOX6 Dopa,1,Reciprocal_top_hit
macaque|Pericyte,marmoset|Pericyte,1,Above_0.8
human|Pericyte,macaque|Pericyte,1,Reciprocal_top_hit
macaque|OT D1 ICj,marmoset|OT D1 ICj,1,Above_0.8
macaque|STH PVALB-PITX2 Glut,marmoset|STH PVALB-PITX2 Glut,1,Above_0.8
human|STR SST-CHODL GABA,macaque|STR SST-CHODL GABA,1,Reciprocal_top_hit
macaque|STRv D1 NUDAP MSN,marmoset|STRv D1 NUDAP MSN,1,Above_0.8
human|STR D1D2 Hybrid MSN,macaque|STR D1D2 Hybrid MSN,1,Reciprocal_top_hit
macaque|SN-VTR CALB1 Dopa,human|SN-VTR CALB1 Dopa,1,Above_0.8
human|OB FRMD7 GABA,marmoset|OB FRMD7 GABA,1,Reciprocal_top_hit
macaque|OB FRMD7 GABA,marmoset|OB FRMD7 GABA,1,Above_0.8
macaque|STR D1D2 Hybrid MSN,marmoset|STR D1D2 Hybrid MSN,1,Above_0.8
human|SN-VTR CALB1 Dopa,marmoset|SN SOX6 Dopa,1,Above_0.8
macaque|LAMP5-LHX6 GABA,marmoset|LAMP5-LHX6 GABA,1,Above_0.8
