,gene,tau_human,tau_macaque,tau_marmoset,xspecies_mean,xspecies_median,xspecies_min,xspecies_max,xspecies_recurrence,species1,species2,sp1_expr_stat,sp2_expr_stat,expr_cor,sp_order,median_cor,rank,auroc
count,99726,99726.0,99726.0,99726.0,99726.0,99726.0,99726.0,99726.0,99726.0,99726,99726,99726.0,99726.0,99514.0,99726.0,99726.0,99726.0,99726.0
unique,16621,,,,,,,,,3,3,,,,,,,
top,A1BG,,,,,,,,,marmoset,human,,,,,,,
freq,6,,,,,,,,,33242,33242,,,,,,,
mean,,0.47611865783671264,0.47115632703814453,0.48553457466975514,0.4776031865168763,0.47495514575549,0.36798061170067986,0.5898738020884423,0.7378817960967451,,,0.575541706587163,0.575541706587163,0.5199049325225686,1.5,0.4964318227032068,8311.0,0.49975947083582767
std,,0.31380044845613836,0.31543033641493534,0.3199335786634325,0.2646223159635266,0.30749294409540817,0.2954761098554678,0.30650299487550897,2.037565394018897,,,0.5417688090806556,0.5417688090806557,0.26356199036673567,0.5000025068876739,0.24892711701971867,4798.093459858428,0.2885203523669221
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.476157105,1.0,-0.312456693,1.0,6.01322910402886e-05
25%,,0.249339448,0.215363684,0.258248592,0.315989048,0.259660177,0.0,0.429150073,0.0,,,0.14233866075,0.14233866075,0.365982088,1.0,0.350043848,4156.0,0.249909802
50%,,0.513763585,0.527270125,0.529003561,0.512678244,0.527929892,0.413583556,0.634571917,0.0,,,0.435683715,0.435683715,0.568109492,1.5,0.545199286,8311.0,0.499759471
75%,,0.726231046,0.703709849,0.724827731,0.650682393,0.699066105,0.581646651,0.848597539,0.0,,,0.857630542,0.857630542,0.719070477,2.0,0.676516386,12466.0,0.74960914
max,,0.999459287,0.999674091,1.0,0.997909474,0.998010781,0.996415717,1.0,10.0,,,3.564902802,3.564902802,0.999624896,2.0,0.999260778,16621.0,0.999458809
