,Group,accession_group,curated_ABC_WMB_neighborhood,curated_ABC_WMB_class,curated_ABC_WMB_subclass,curated_ABC_WMB_supertype,curated_ABC_WMB_cluster,abc_atlas_access,genomics_support,genomics_notes,spatial_support,expert_support,literature_support,Human_ABCmouse_MapMyCells_CLAS_label,Macaque_ABCmouse_MapMyCells_CLAS_label,Marmoset_ABCmouse_MapMyCells_CLAS_label,reciprocal_hits_ABCmouse_MapMyCells_CLAS_label,Human_ABCmouse_MapMyCells_SUBC_label,Macaque_ABCmouse_MapMyCells_SUBC_label,Marmoset_ABCmouse_MapMyCells_SUBC_label,reciprocal_hits_ABCmouse_MapMyCells_SUBC_label,Human_ABCmouse_MapMyCells_SUPT_label,Macaque_ABCmouse_MapMyCells_SUPT_label,Marmoset_ABCmouse_MapMyCells_SUPT_label,reciprocal_hits_ABCmouse_MapMyCells_SUPT_label,Human_HMBA_WB_Human_MapMyCells_Class_label,Macaque_HMBA_WB_Human_MapMyCells_Class_label,Marmoset_HMBA_WB_Human_MapMyCells_Class_label,reciprocal_hits_HMBA_WB_Human_MapMyCells_Class_label,Human_HMBA_WB_Human_MapMyCells_Subclass_label,Macaque_HMBA_WB_Human_MapMyCells_Subclass_label,Marmoset_HMBA_WB_Human_MapMyCells_Subclass_label,reciprocal_hits_HMBA_WB_Human_MapMyCells_Subclass_label
count,61,61,61,61,58,56,7,61,61,2,11,0.0,4,61,61,61,50,61,59,58,60,60,58,56,58,61,61,61,58,61,59,58,56
unique,61,61,4,15,42,49,5,2,6,2,11,,1,12,12,12,11,36,35,34,34,55,53,51,51,12,12,12,10,34,33,32,31
top,Astrocyte,CS20250428_GROUP_0039,Subpallium-GABA,CNU-MGE GABA,Oligo NN,1184 MOL NN_4,all_clusters,True,"annotation, alignment",Subset of 0279 STR D2 Gaba_6 and _4 aligns to STRd D2 Striosome MSN. Confirm if subcluster of 0277 STR D2 Gaba_4 is Striosome in mouse (Oprm1+).,good alignment,,doi:10.1101/2024.06.18.599583,08 CNU-MGE GABA | 07 CTX-MGE GABA,08 CNU-MGE GABA | 07 CTX-MGE GABA,07 CTX-MGE GABA | 08 CNU-MGE GABA,07 CTX-MGE GABA | 08 CNU-MGE GABA,062 STR D2 Gaba,062 STR D2 Gaba,062 STR D2 Gaba,243 PGRN-PARN-MDRN Hoxb5 Glut,1184 MOL NN_4,1184 MOL NN_4,1184 MOL NN_4,1184 MOL NN_4,08 CNU-MGE GABA | 07 CTX-MGE GABA,08 CNU-MGE GABA | 07 CTX-MGE GABA,07 CTX-MGE GABA | 08 CNU-MGE GABA,24 MY Glut,327 Oligo NN,327 Oligo NN,327 Oligo NN,327 Oligo NN
freq,1,1,37,13,4,3,3,53,46,1,1,,4,11,11,11,11,4,4,4,4,3,3,3,3,11,11,11,12,4,4,4,4
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
