,Group,accession_group,curated_Siletti_Supercluster,curated_Siletti_Cluster,curated_Siletti_Subcluster,genomics_support,genomics_notes,spatial_support,expert_support,literature_support,Human_Silettisub_MapMyCells_Supercluster_label,Macaque_Silettisub_MapMyCells_Supercluster_label,Marmoset_Silettisub_MapMyCells_Supercluster_label,reciprocal_hits_Siletti_MapMyCells_Supercluster_label,Human_Silettisub_MapMyCells_Cluster_label,Macaque_Silettisub_MapMyCells_Cluster_label,Marmoset_Silettisub_MapMyCells_Cluster_label,reciprocal_hits_Siletti_MapMyCells_Cluster_label,Human_Silettisub_MapMyCells_Subcluster_label,Macaque_Silettisub_MapMyCells_Subcluster_label,Marmoset_Silettisub_MapMyCells_Subcluster_label,reciprocal_hits_Siletti_MapMyCells_Subcluster_label
count,61,61,2,1,1,0.0,0.0,0.0,0.0,0.0,61,61,61,61,61,57,56,54.0,55,55.0,54.0,39.0
unique,61,61,1,1,1,,,,,,8,7,8,7,36,33,33,30.0,55,54.0,54.0,38.0
top,Astrocyte,CS20250428_GROUP_0039,Astrocyte,55 | 60 | 61,*,,,,,,Splatter,Splatter,Splatter,Splatter,207 | 212 | 208,207 | 212,207 | 217 | 216,365.0,3083 | 3084,3013.0,3084.0,3084.0
freq,1,1,2,1,1,,,,,,20,31,20,31,4,4,4,4.0,1,2.0,1.0,2.0
mean,,,,,,,,,,,,,,,,,,,,,,
std,,,,,,,,,,,,,,,,,,,,,,
min,,,,,,,,,,,,,,,,,,,,,,
25%,,,,,,,,,,,,,,,,,,,,,,
50%,,,,,,,,,,,,,,,,,,,,,,
75%,,,,,,,,,,,,,,,,,,,,,,
max,,,,,,,,,,,,,,,,,,,,,,
