,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group
count,777,777.0,777.0,777.0,777.0,777.0,777
unique,777,,,,,,1
top,KCNT2,,,,,,D2_StrioMat
freq,1,,,,,,777
mean,,44.88428472522523,2.064099816988417,3.524374852550883e-41,1.8137405026807336e-40,0.6185690644848899,
std,,28.650721769934698,1.3496417504236684,6.340684072289001e-40,3.260320207000479e-39,0.24547346105565487,
min,,12.985621,1.0000254,0.0,0.0,0.2007342336436344,
25%,,24.457441,1.2100611,0.0,0.0,0.3981906385210436,
50%,,34.407616,1.5143641,1.93976898093836e-259,3.011984888235754e-258,0.6406188540710633,
75%,,54.47848,2.3767028,4.193945875184692e-132,4.403113630323323e-131,0.8350596564835453,
max,,145.74884,10.481743,1.476352486551847e-38,7.587064848997903e-38,1.0,
