,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group
count,459,459.0,459.0,459.0,459.0,459.0,459
unique,459,,,,,,1
top,KCNT2,,,,,,D2_StrioMat
freq,1,,,,,,459
mean,,35.34705947385621,2.0731659032679737,7.396461900476793e-25,5.9572436699723184e-24,0.612204080479722,
std,,22.86396424121351,1.3928616757317167,1.5817034364454597e-23,1.273788248454462e-22,0.24536088654586116,
min,,9.68807,1.0001304,0.0,0.0,0.2007528230865746,
25%,,19.5215215,1.20296285,0.0,0.0,0.4063153492262651,
50%,,26.847918,1.5379062,8.920156698914995e-159,2.347186802261968e-157,0.6206608113759933,
75%,,42.4336725,2.3584490000000002,1.1321863933249785e-84,1.943748732596311e-83,0.8225637808448347,
max,,113.769844,10.395672,3.388694461056837e-22,2.729006725780881e-21,1.0,
