,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group
count,525,525.0,525.0,525.0,525.0,525.0,525
unique,525,,,,,,1
top,SEMA3E,,,,,,D2_StrioMat
freq,1,,,,,,525
mean,,16.821999199047617,2.1668004763809523,1.3448949161454936e-08,1.0529842551852436e-07,0.6113647246608139,
std,,10.181637212371868,1.427900408489986,1.3432728084928917e-07,1.022786511303097e-06,0.2541061533850729,
min,,4.7222233,1.0014596,0.0,0.0,0.2001862197392923,
25%,,9.509209,1.2471074,3.874274839234168e-94,2.10552910380602e-92,0.3836126629422718,
50%,,13.604763,1.6460141,3.751846498287351e-42,9.903683693098198e-41,0.6089385474860335,
75%,,20.583296,2.4840863,1.921190561895781e-21,3.166441927088883e-20,0.8472998137802608,
max,,52.75109,11.49751,2.332804723477479e-06,1.75065625232087e-05,1.0,
