,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group
count,329,329.0,329.0,329.0,329.0,329.0,329
unique,329,,,,,,1
top,GPC6,,,,,,D2_StrioMat
freq,1,,,,,,329
mean,,18.056085465045594,2.167415145288754,1.444238151834774e-09,9.723720290597309e-09,0.5355327592029719,
std,,11.014377168460818,1.3770597156770128,2.0494552391755778e-08,1.3474292956697705e-07,0.25089350561973117,
min,,5.084207,1.0030987,0.0,0.0,0.2013888888888889,
25%,,9.53949,1.222091,1.027838733690025e-118,6.185429515661451e-117,0.3041666666666666,
50%,,14.858012,1.636585,6.172950439550386e-50,1.669070830386124e-48,0.4881944444444444,
75%,,23.164944,2.545147,1.435362875832002e-21,1.966281863385097e-20,0.7388888888888889,
max,,58.87094,8.701413,3.691654335868644e-07,2.423392443062158e-06,1.0,
