,motif_TF,mean_evo_distance,mean_gini_score,mean_promoter_count,num_peaks,num_peaks_norm,anno,anno_color
count,737,737.0,737.0,737.0,737.0,737.0,737,737
unique,737,,,,,,45,20
top,PAX6,,,,,,C2H2 ZF,#bcbd22
freq,1,,,,,,174,176
mean,,0.3955315810525534,0.4383735805995092,0.028572949738749097,156153.42876526457,0.03938215354623636,,
std,,0.03436148223097796,0.0220160820209897,0.0277459133449777,94469.9999225406,0.02382549055682359,,
min,,0.2172804125880277,0.3341290982955326,0.0079809999156087,5894.0,0.0014864765688267,,
25%,,0.3843939409739608,0.4253756616798234,0.0129733816850472,81999.0,0.0206802837066884,,
50%,,0.4060114267197233,0.4430625248333405,0.0184777333980365,145203.0,0.0366204372621896,,
75%,,0.416873232027709,0.4547236369720266,0.032476152479054,205271.0,0.0517696864200252,,
max,,0.446964163340861,0.470612176524849,0.2439146620847651,566818.0,0.1429524390548389,,
