,Start_HAQER,End_HAQER,HAQER_ID,Length,Start_ABC,End_ABC,gene_id,ABC,hDEG
count,7229.0,7229.0,7229,7229.0,7229.0,7229.0,7229,7229.0,7229
unique,,,113,,,,254,,2
top,,,HAQER1336,,,,ADCYAP1,,False
freq,,,891,,,,219,,5773
mean,51835746.860146634,51836686.15188823,,35.55554018536451,51836007.71600498,51836508.71600498,,0.10641822204800112,
std,54111336.66766372,54111369.59313928,,9.920819272526145,54111310.450323366,54111310.450323366,,0.19500037780416862,
min,72826.0,73876.0,,29.0,73226.0,73727.0,,0.020001338,
25%,7227616.0,7228392.0,,30.0,7227939.0,7228440.0,,0.026840278,
50%,29513299.0,29514921.0,,31.0,29514825.0,29515326.0,,0.039505453,
75%,95761115.0,95762058.0,,35.0,95761021.0,95761522.0,,0.072493701,
max,247175807.0,247176729.0,,101.0,247176606.0,247177107.0,,0.983548714,
