,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16486.0,0.7107409028697572,0.0020201532891832227,3.257311302428256,0.47034440439117003
std,,,0.0,3.7127341645182175,0.010774602231316694,1.1126766619859372,0.3081627619374826
min,,,16486.0,-10.034,-0.021685,0.84933,2.2491e-08
25%,,,16486.0,-1.8397,-0.0046666,2.3401,0.19984
50%,,,16486.0,0.36923,0.0006614,3.2974,0.46519
75%,,,16486.0,2.84,0.0062531,4.1439,0.73165
max,,,16486.0,10.794,0.042109,5.9978,0.99836
