,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16795.0,4.250251834437086,0.00686150362030905,3.5059516777041946,0.3057416462183885
std,,,0.0,5.890114598568857,0.012898917443312525,1.1750204387331065,0.33282596475503107
min,,,16795.0,-7.7877,-0.028698,0.95547,6.4083e-07
25%,,,16795.0,-0.22987,-0.00064628,2.5591,0.025322
50%,,,16795.0,3.5353,0.0081589,3.5364,0.15697
75%,,,16795.0,8.197,0.015695,4.4468,0.53266
max,,,16795.0,27.765,0.039556,6.3492,0.99971
