,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16398.0,-0.21927047682119202,-0.00010446191125827808,3.1125309492273727,0.5051980814569537
std,,,0.0,3.1680027194782525,0.007375499691490068,1.065121473448908,0.29636553698210877
min,,,16398.0,-9.6064,-0.024195,0.82411,0.0026768
25%,,,16398.0,-2.2102,-0.0049427,2.2523,0.25792
50%,,,16398.0,-0.10917,-0.0002899,3.1207,0.51635
75%,,,16398.0,1.7208,0.004643,3.9704,0.75503
max,,,16398.0,10.26,0.019718,5.736,0.99985
