,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16440.0,1.5002653445916116,0.002395766541280353,3.3395208830022076,0.42063375832229577
std,,,0.0,3.866585163039725,0.007701243669211336,1.135638548035498,0.284011620322579
min,,,16440.0,-7.3099,-0.016077,0.91433,0.00022751
25%,,,16440.0,-0.9653,-0.0030754,2.4262,0.16821
50%,,,16440.0,0.74807,0.0019841,3.3652,0.39595
75%,,,16440.0,3.5202,0.0073722,4.2328,0.65885
max,,,16440.0,17.274,0.027452,6.2355,0.98111
