,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16427.0,8.018247018101544,0.01262434981236203,3.976837527593819,0.28362553613156233
std,,,0.0,10.559707679475896,0.02132961432177274,1.3485156360816533,0.3788295889467668
min,,,16427.0,-12.044,-0.04436,1.0368,2.4286e-11
25%,,,16427.0,-0.31459,-0.00086875,2.899,0.0010507
50%,,,16427.0,6.6048,0.014703,3.9784,0.050266
75%,,,16427.0,14.951,0.028073,5.0563,0.53762
max,,,16427.0,43.452,0.063254,7.366,1.0
