,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16481.0,4.340107105960265,0.006923019867549669,3.618676843267108,0.3104218006315673
std,,,0.0,6.079984896826865,0.012592177899017556,1.230023345960888,0.3303441736770908
min,,,16481.0,-7.744,-0.031385,0.94335,3.3599e-06
25%,,,16481.0,-0.38128,-0.00093702,2.6309,0.027036
50%,,,16481.0,3.5246,0.00878,3.6715,0.14621
75%,,,16481.0,8.1334,0.016014,4.5874,0.54591
max,,,16481.0,25.049,0.038476,6.6626,0.99993
