,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16373.0,-1.6371086136865345,-0.0011321086004415014,3.77968587196468,0.5874277471212193
std,,,0.0,5.64550870521351,0.015440732386897263,1.2898601329929034,0.3549236118691471
min,,,16373.0,-19.005,-0.032501,0.97197,5.4833e-10
25%,,,16373.0,-5.5338,-0.012057,2.746,0.25374
50%,,,16373.0,-1.9772,-0.0044193,3.8252,0.69664
75%,,,16373.0,1.794,0.005606,4.8064,0.91743
max,,,16373.0,13.283,0.054107,6.8929,0.99991
