,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,16400.0,5.824571600441502,0.00905074913245033,3.6832584105960264,0.2997932944318896
std,,,0.0,7.83690770452371,0.01567228114336236,1.2547657755851365,0.35549579534660464
min,,,16400.0,-8.0056,-0.029905,0.96656,6.5456e-08
25%,,,16400.0,-0.40325,-0.001201,2.6527,0.0064174
50%,,,16400.0,4.4993,0.010361,3.7271,0.10829
75%,,,16400.0,11.204,0.020997,4.7302,0.55784
max,,,16400.0,33.077,0.044076,6.7182,0.99979
