,VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P
count,453,453,453.0,453.0,453.0,453.0,453.0
unique,453,1,,,,,
top,Human-1,COVAR,,,,,
freq,1,453,,,,,
mean,,,17087.0,6.081529178145695,0.009385877964679913,3.769326313465784,0.30294415507025146
std,,,0.0,8.407258169364637,0.017049710968479032,1.2758621469948812,0.35767507822112327
min,,,17087.0,-10.096,-0.036112,0.98482,5.0689e-09
25%,,,17087.0,-0.54189,-0.0012482,2.7936,0.006037
50%,,,17087.0,4.4305,0.0096708,3.7611,0.13154
75%,,,17087.0,11.863,0.02207,4.7391,0.55901
max,,,17087.0,35.786,0.05027,7.0227,0.99997
