,rsid,gene,cell_type,ImOligo,ImAstro,Microglia,BAM,T_cells
count,45,45,45,45.0,45.0,45.0,45.0,45.0
unique,42,10,4,,,,,
top,rs7103808,MS4A6E,BAM,,,,,
freq,2,21,26,,,,,
mean,,,,3.896523610744445,3.111410785711112,6.704123533666667,5.05429637076,1.3559652446333332
std,,,,23.95218952136003,23.491580575921134,51.04031075694871,41.40375766416602,8.766561702239345
min,,,,-30.182678,-27.178131,-56.487427,-60.723206,-7.708252
25%,,,,-0.49864578,-0.5300808,-1.1228809,-0.686676,-0.35891724
50%,,,,0.052007675,0.008480072,0.06663132,0.24140167,0.017922401
75%,,,,1.3085938,0.97946167,0.99948883,2.3331604,0.74853516
max,,,,154.52844,154.11356,335.34042,264.91998,56.7418
