,rsid,gene,cell_type,STRd_D1_Striosome_MSN,STRd_D2_Matrix_MSN,STRd_D2_Striosome_MSN,STRv_D1_MSN,STRv_D2_MSN,STRd_D2_StrioMat_Hybrid_MSN,STRv_D1_NUDAP_MSN,OT_D1_ICj,GPe_MEIS2-SOX6_GABA,AMY-SLEA-BNST_GABA,OB_FRMD7_GABA,VIP_GABA,LAMP5-CXCL14_GABA,STR_SST-RSPO2_GABA,STR_LYPD6-RSPO2_GABA,LAMP5-LHX6_GABA,STR-BF_TAC3-PLPP4-LHX8_GABA,STRd_Cholinergic_GABA
count,45,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
unique,44,17,11,,,,,,,,,,,,,,,,,,
top,rs6914052,TSNARE1,GPe_MEIS2-SOX6_GABA,,,,,,,,,,,,,,,,,,
freq,2,8,9,,,,,,,,,,,,,,,,,,
mean,,,,-2.6694742739393327,-2.087900253566667,-2.469758886255556,-2.327787597744444,-2.035168974755556,-1.2974245170666665,-0.9745509851333334,-1.1657209637111112,-0.1861245900222223,-0.8042332128000002,0.6064665203999999,0.5399797565111112,1.5796854555488888,-0.15076729382222226,-0.08341396446666663,1.6210223455333332,0.028743834266666636,0.11312259697777785
std,,,,16.792595086126557,14.692444722575697,15.875967881692759,12.690398288675702,11.814445993002366,7.601848365350883,4.03751753377123,4.612025435105543,7.83165936341449,2.5977235521753292,12.354778066161034,5.112485950769247,11.532528409123158,5.3239222366429,3.292129075413722,12.244316655597304,1.6665053086267307,3.290382965453578
min,,,,-111.49072,-97.30267,-105.37341,-83.121216,-77.160706,-47.52893,-22.919067,-20.682892,-19.008133,-10.17128,-33.11022,-4.0947723,-5.635498,-12.01733,-10.181641,-7.8841095,-3.1297302,-11.615555
25%,,,,-0.46200562,-0.511055,-0.47998047,-0.5503845,-0.59243774,-0.65045166,-0.5702362,-0.5265312,-1.0437317,-0.9614258,-0.4026661,-0.5454407,-0.7033081,-0.77570724,-0.7114258,-0.7491455,-0.5447006,-0.76665115
50%,,,,-0.15680695,-0.12869263,-0.11569214,-0.23432541,-0.15264893,-0.07978439,-0.121665955,-0.19448853,-0.42639923,-0.3755188,-0.07699394,-0.09352875,-0.087402344,-0.22512054,-0.21050262,-0.14785767,-0.059883118,-0.12452698
75%,,,,0.29628372,0.20983124,0.26132202,0.28996277,0.42488098,0.46632385,0.31114197,0.17630386,0.31123352,0.14291382,0.25423813,0.21248627,0.33868408,0.18330383,0.36297607,0.48120117,0.20604706,0.58551025
max,,,,8.066406,10.746704,8.3298645,10.449738,10.681061,6.3868713,3.0419464,4.2807617,45.305756,5.7655945,73.24057,32.44008,75.63989,30.460434,16.899414,80.035034,7.723053,16.33313
