,sample,exp_batch,exp_barcode_row,tissue_storage_code,organ,organ_code,tissue_PCW,tissue_bioID,tissue_sex,exp_run_date,cutoff_rna_nUMIs,cutoff_rna_nGenes,cutoff_rna_pctMT,cutoff_atac_TSS,cutoff_atac_nFrags,cutoff_nFrags_nUMIs_ratio,nCells,median_rna_nGenes,median_rna_nUMIs,median_rna_pctMT,median_atac_TSS,median_atac_nFrags,median_atac_frip
count,76,76.0,76,76.0,76,76,76.0,76.0,76,76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
unique,76,,12,75.0,13,13,,,2,12,,,,,,,,,,,,,
top,T014_b11_Heart_PCW18,,F,136.0,Lung,LU,,,F,2025-12-07 00:00:00,,,,,,,,,,,,,
freq,1,,10,2.0,15,15,,,42,8,,,,,,,,,,,,,
mean,,12.592105263157896,,,,,18.144736842105264,12.368421052631579,,,1158.5526315789473,542.1052631578947,20.0,5.697368421052632,1598.6842105263158,0.09210526315789473,10759.736842105263,1588.3552631578948,2578.75,0.003747027868421053,9.66420394736842,6206.881578947368,0.36798611177631585
std,,4.333367071393629,,,,,2.779467322436302,5.630493418906631,,,399.53207279639315,127.81565672977295,0.0,0.8644032522244119,621.9310617858181,0.405877865995749,6132.233299254948,544.8430833172029,1641.6694764781369,0.012205648639771215,2.040737868480633,3013.0764730514456,0.1112548699677427
min,,4.0,,,,,10.0,1.0,,,700.0,500.0,20.0,5.0,1000.0,0.0,112.0,868.0,1133.0,0.0,6.4295,2276.0,0.186239052
25%,,10.0,,,,,17.0,9.0,,,1000.0,500.0,20.0,5.0,1000.0,0.0,6446.25,1221.75,1587.0,0.0,7.843875,4233.25,0.28346243250000003
50%,,12.0,,,,,18.0,11.0,,,1000.0,500.0,20.0,5.0,1500.0,0.0,10229.5,1416.5,1951.0,0.0,9.47325,5413.5,0.33769122149999997
75%,,16.0,,,,,20.0,17.0,,,1225.0,500.0,20.0,7.0,2000.0,0.0,14433.75,1879.5,2990.125,0.0,11.268249999999998,7424.0,0.46135776575
max,,22.0,,,,,23.0,23.0,,,2000.0,1000.0,20.0,7.0,3000.0,2.0,24830.0,3525.0,9910.5,0.086244071,14.103,19986.0,0.595807032
