,meta_id,mesh_id,trait,motifName,organ,celltype,susie,z,p,FDR,motifChr.hg38,motifStart.hg38,motifEnd.hg38,motifChr.hg19,motifStart.hg19,motifEnd.hg19,snpChr.hg38,snpPos.hg38,snpChr.hg19,snpPos.hg19,rsid,adult_celltype,found_in_X_adult_peaksets,total_adult_peaksets,found_in_min_2_peakset
count,182,182,182,182,182,182,182.0,182.0,182.0,182.0,182,182.0,182.0,182,182.0,182.0,182,182.0,182,182.0,182,182,182.0,182.0,182
unique,37,25,32,37,10,31,,,,,15,,,15,,,15,,15,,43,20,,,3
top,GCST90038616,D001249,Asthma,456|ZEB/SNAI,Heart,vascular.endothelium,,,,,chr1,,,chr1,,,chr1,,chr1,,rs117683492,Unavailable,,,both
freq,25,41,25,31,45,19,,,,,31,,,31,,,31,,31,,21,74,,,79
mean,,,,,,,0.9622603461538463,3.7310367149835173,0.0005954552816252748,0.014892138803241759,,79813435.92857143,79813443.37912089,,79787364.87912089,79787372.32967032,,79813439.46703297,,79787368.41758242,,,3.9285714285714284,6.906593406593407,
std,,,,,,,0.05693045458257789,0.8426209824270766,0.0008161662853749979,0.01458668937490251,,59391049.11937428,59391049.79408142,,59370553.76991382,59370554.437376276,,59391049.550032176,,59370554.19739838,,,7.690875496567966,12.77069592930829,
min,,,,,,,0.80364,2.693304333,6.218e-11,1.546e-08,,6051175.0,6051182.0,,6093138.0,6093145.0,,6051176.0,,6093139.0,,,0.0,0.0,
25%,,,,,,,0.956911,3.1899514235,1.43425e-05,0.00126775,,30028142.0,30028146.0,,30317071.0,30317075.0,,30028144.0,,30317073.0,,,0.0,0.0,
50%,,,,,,,0.990624,3.408720093,0.00032635,0.012175,,67121281.0,67121288.0,,67413619.0,67413626.0,,67121286.0,,67413624.0,,,0.5,4.0,
75%,,,,,,,0.9992775,4.1840506495000005,0.000711775,0.02516,,113194849.5,113194855.25,,113597677.75,113597685.0,,113194852.5,,113597681.25,,,4.75,8.0,
max,,,,,,,1.0,6.43390599,0.003537,0.04988,,236465833.0,236465839.0,,236629133.0,236629139.0,,236465834.0,,236629134.0,,,48.0,69.0,
