,meta_id,mesh_id,trait,rsid,snpChr.hg38,snpPos.hg38,non_effect_allele,effect_allele,gwas_beta,gwas_p,organ,celltype,selected_L1_cluster,motifs
count,26,26,26,26,26,26.0,26,26,26.0,26.0,26,26,26.0,26
unique,15,9,11,14,8,,3,4,,,5,9,,14
top,GCST90038616,D003324,Coronary artery disease,rs1837253,chr10,,G,A,,,Muscle,smooth.muscle,,456|ZEB/SNAI
freq,4,9,9,4,5,,13,10,,,6,7,,5
mean,,,,,,88290888.6923077,,,0.022319230769230772,3.0892152124856188e-09,,,5.8076923076923075,
std,,,,,,56440487.53434379,,,0.09795785632293418,1.1634613155444684e-08,,,3.6002136688727884,
min,,,,,,6051176.0,,,-0.1773,4.65e-91,,,1.0,
25%,,,,,,34249285.25,,,-0.0297,2.0984675e-32,,,4.0,
50%,,,,,,104399270.5,,,0.010249999999999999,1.125e-20,,,5.0,
75%,,,,,,141011359.5,,,0.0543,3.7275e-12,,,7.75,
max,,,,,,170618199.0,,,0.2726,5.9e-08,,,15.0,
