,Cluster,organ,organ_code,cluster_id,compartment,L1_annot,L2_annot,L3_annot,dend_order,ncell,median_numi,median_ngene,median_nfrags,median_tss,median_frip,note,organ_color,compartment_color,Cluster_ChromBPNet
count,203,203,203,203.0,203,203,203,203,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203,203,203,203
unique,203,12,12,,4,203,134,37,,,,,,,,174,12,4,203
top,LI_13,Eye,EY,,epi,LI_13_cholangiocyte,Brain excitatory neurons,fibroblasts,,,,,,,,"TPO, TG, TSHR+",#ff9f0f,#11A579,Liver_c13
freq,1,22,22,,79,1,8,24,,,,,,,,6,22,79,1
mean,,,,8.428571428571429,,,,,102.0,4028.2758620689656,2914.0073891625616,1761.92118226601,7010.389162561576,9.180724137931033,0.335283536032349,,,,
std,,,,5.598671291146529,,,,,58.74521257089806,4689.280484059025,1917.5210949811233,664.7495144972562,3391.098553169417,1.7350678576220269,0.09277684975648728,,,,
min,,,,0.0,,,,,1.0,25.0,877.0,690.5,1581.0,6.2295,0.169152968,,,,
25%,,,,4.0,,,,,51.5,965.5,1742.0,1290.5,4483.25,8.039,0.2687496075,,,,
50%,,,,8.0,,,,,102.0,2660.0,2297.0,1567.5,6221.0,8.9465,0.313052562,,,,
75%,,,,13.0,,,,,152.5,5595.0,3383.75,2143.75,9077.75,10.121,0.3795966395,,,,
max,,,,21.0,,,,,203.0,33620.0,12916.0,4536.0,20768.5,16.468,0.611670616,,,,
