,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
count,29053.0,29053.0,29053.0,29053.0,29053.0,29053,29053
unique,,,,,,200,5621
top,,,,,,ST_15,MEF2C
freq,,,,,,576,37
mean,4.248424407050795e-07,1.8085052046072359,0.5387565483771038,0.1703964478711321,0.0019208659814634876,,
std,1.9789403224089226e-05,0.7429147581651075,0.19556889614337933,0.1431132412633948,0.03937306290772939,,
min,0.0,1.00001243349309,0.212,0.0,0.0,,
25%,0.0,1.26649552430971,0.376,0.065,0.0,,
50%,0.0,1.59948984858768,0.502,0.13,0.0,,
75%,3.99375632829904e-170,2.13232595074224,0.676,0.234,1.29797080669718e-165,,
max,0.00229220302264254,9.83015967134061,1.0,0.79,1.0,,
