,Organ,Cluster_ChromBPNet,L1_annot,Total_n_fragments,Model,Fold,Pass_QC,Reason,counts_metrics.peaks.spearmanr,counts_metrics.peaks.pearsonr,counts_metrics.peaks.mse,profile_metrics.peaks.median_jsd,profile_metrics.peaks.median_norm_jsd,tn5_motif_1,tn5_motif_2,tn5_motif_3,tn5_motif_4,tn5_motif_5,max_tn5_response
count,1015,1015,1015,1015.0,1015,1015,1015,70,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0,1015.0
unique,12,203,203,,1015,5,2,2,,,,,,,,,,,
top,Eye,Adrenal_c0,AG_0_adrenal cortex 1,,Adrenal_c0_fold_0,fold_0,True,Failed post-MoDISco QC,,,,,,,,,,,
freq,110,5,5,,1,203,945,50,,,,,,,,,,,
mean,,,,34871195.22660098,,,,,0.7226673662764813,0.7720132197569676,0.3804758151529424,0.5593684280901632,0.25356390503058823,0.0010177339901477837,0.0010236453201970448,0.0010068965517241383,0.001001970443349754,0.0010078817733990154,0.0010541871921182272
std,,,,42444767.438001566,,,,,0.063495326373989,0.047758725175922306,0.13650516986237957,0.10669961859168282,0.10042883729703625,0.00036579705221557687,0.0006627839440752437,0.00010392553536697637,4.436778236216214e-05,0.00011723703552136649,0.0007666750521152973
min,,,,127313.0,,,,,0.40793740773662,0.387901609661877,0.106309799250419,0.315369794970348,0.0187432138580762,0.001,0.001,0.001,0.001,0.001,0.001
25%,,,,8168151.0,,,,,0.6869256499361105,0.7469413921648296,0.2939445992141205,0.4879010927652525,0.192140256879582,0.001,0.001,0.001,0.001,0.001,0.001
50%,,,,21796391.0,,,,,0.732019275079816,0.780199537929553,0.348588463567962,0.553414534002565,0.255436428472927,0.001,0.001,0.001,0.001,0.001,0.001
75%,,,,42437969.0,,,,,0.7686139518449645,0.8041902105101459,0.440717385502034,0.6274584595840416,0.3198398441104325,0.001,0.001,0.001,0.001,0.001,0.001
max,,,,309315313.0,,,,,0.851810613087704,0.864515807093558,1.01981958713031,0.811805239991733,0.495911917868897,0.012,0.022,0.003,0.002,0.004,0.022
