,meta_ID,MeSH_ID,trait_name,fetal_celltype,z,p,FDR,organ
count,7088,7088,7088,7088,7088.0,7088.0,7088.0,7088
unique,1483,349,927,100,,,,12
top,PA00976,D007958,Platelet_count,macrophage,,,,Liver
freq,25,508,98,574,,,,1381
mean,,,,,4.212008751573646,0.0004374932920118244,0.012183648662432092,
std,,,,,1.669669576875138,0.0006794269290788102,0.014581714666789031,
min,,,,,2.644611587,5.174e-88,6.423e-84,
25%,,,,,3.218840344,2.2655e-06,0.00022655,
50%,,,,,3.721575574,9.899e-05,0.005043,
75%,,,,,4.58543611925,0.000643525,0.021545,
max,,,,,19.85316657,0.004089,0.04998,
