,human_gene,GLS_t_value_human_v_macaque,adjusted_p_value_human_v_macaque,GLS_t_value_human_v_marmoset,adjusted_p_value_human_v_marmoset,GLS_t_value_human_v_mouse,adjusted_p_value_human_v_mouse,GLS_t_value_macaque_v_marmoset,adjusted_p_value_macaque_v_marmoset,GLS_t_value_macaque_v_mouse,adjusted_p_value_macaque_v_mouse,GLS_t_value_marmoset_v_mouse,adjusted_p_value_marmoset_v_mouse
count,13052,11017.0,11017.0,12041.0,12041.0,11778.0,11778.0,10789.0,10789.0,10543.0,10543.0,11601.0,11601.0
unique,13052,,,,,,,,,,,,
top,A4GALT,,,,,,,,,,,,
freq,1,,,,,,,,,,,,
mean,,5.4164541955982,0.149077422917363,4.783418631263857,0.20172299592593018,3.8092730438133335,0.3533531594490566,5.407966734235249,0.1922859089705787,4.088554816820689,0.33546068266616097,4.164078867747667,0.3155109891128699
std,,3.3352536610773185,0.3097130227287011,3.0958460357778343,0.34969881652735935,2.9085741756587424,0.42064568432412053,3.9275646801631496,0.34946178740884776,3.270796785365999,0.41773178681504725,3.210230221772413,0.41240832817168604
min,,-2.6283368032771737,2.093588253764053e-13,-2.985853789810597,2.5173684376587428e-11,-4.304503257838405,3.036896246210588e-11,-2.6511167166976506,7.239358500957389e-18,-2.4355553526578406,6.770398239630367e-14,-2.48437156121164,4.746862280751241e-13
25%,,3.097461438664341,3.041182565540254e-05,2.6822903406146232,0.000207103571108,1.8916970810204077,0.00262128020397255,2.7707851278404334,3.459116471609746e-05,1.943094026106385,0.00119927293805465,2.024496914627213,0.0009192561390324
50%,,4.737437076268455,0.0024905974538137,4.177071662726323,0.0092742216547018,3.19205938351731,0.09104219123418886,4.547316067538486,0.0038644043232931,3.3290952150964404,0.0658305286555173,3.43609676203528,0.0519436744275891
75%,,7.053873837565389,0.0748090660669509,6.152212917190648,0.1901157712100985,5.018501739808682,0.9617494995639128,6.990412426747417,0.1551011208189145,5.356204214405908,0.8655891510732436,5.477996203418921,0.7458323118376489
max,,31.218385066876493,1.0,24.23257373473524,1.0,24.27863449556095,1.0,52.44193242429135,1.0,32.98430604356812,1.0,29.739746501695723,1.0
