,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,330795,111720.0,111720.0,17014.0,17014.0,18962.0,18962.0,329945.0,329945.0,284220.0,284220.0,79700.0,79700.0,136111.0,136111.0,265125.0,265125.0,103864.0,103864.0,232919.0,232919.0,39901.0,39901.0,218683.0,218683.0,103938.0,103938.0,80354.0,80354.0,216381.0,216381.0,75829.0,75829.0,229418.0,229418.0,60809.0,60809.0,181816.0,181816.0,106613.0,106613.0,34754.0,34754.0
unique,330795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,chr14-103715355-103715854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.1398193487146701,0.3217172821275227,0.06653238399113393,0.6168748062929138,0.03181022551321957,0.5709888231089082,0.06980460980282163,0.2803174766525577,0.14024303049299483,0.35072899364242016,-0.004953585203837389,0.5301226893050044,0.06517674936689377,0.41802522522653324,-0.03667457786668441,0.376612630004228,0.03583728164878111,0.4395513696548924,0.1306716679043918,0.3810164557953002,-0.009755407465799795,0.649159219547779,0.0476295738872077,0.33745102036892927,0.13212152731695057,0.342740252846623,0.07768583638940292,0.3093366084039948,0.09596824011335076,0.2993993806787731,0.12219554267635929,0.34359831601298746,0.0977865539237627,0.32789393651581505,0.09562699424328568,0.45157536089720607,0.07235739142922916,0.3550900474495123,0.13783265582840198,0.3202601444158621,-0.04204249782765833,0.4805630897777254
std,,1.264675979427757,0.32740354749257045,0.7671507712419401,0.3049369142684968,1.0562848384349195,0.32775251028988056,1.0483825445926942,0.31931564520856753,1.0987743484313102,0.33087716815822027,1.0385006238892491,0.31499730605175014,1.2897387495390797,0.3297167394064319,1.093349687730323,0.3322626946540876,0.9751379894584796,0.33464961053890074,1.1267532632674213,0.3365263239662397,0.9146230715871463,0.3006150714200326,1.1546560998031095,0.33131974501972217,0.9603853617239863,0.3276685083561309,1.5368851059587243,0.3271226337420689,1.207296452442805,0.3265369299688853,1.1885752725096845,0.33258348327936416,0.9548140365966253,0.3273851596269426,0.865067025232003,0.32788947585520944,0.9574161194032562,0.32997228339962514,1.0116407192859207,0.32443853757733093,1.153122751233601,0.3292264637817738
min,,-7.17887323276996,2.86227847809787e-104,-6.23618212265751,2.10861863133368e-26,-8.03993655347526,6.58455753154122e-26,-10.2636796457572,4.49939913506668e-122,-7.84475426146352,1.97237407827458e-66,-7.93081831414562,7.824120532073371e-32,-8.57228316752744,1.21145507344196e-42,-8.93685462740042,5.45709442557319e-51,-7.46031791918029,1.87853452181992e-59,-7.63929979162783,2.1658281062686e-64,-5.78704472958305,1.82040107883668e-16,-9.09597338266081,1.3107106255392e-78,-8.09029611088358,1.24768338495174e-87,-9.44159975672536,7.84949916356915e-69,-7.22984641430995,7.583174163916671e-109,-8.58055278091752,2.32290363115701e-88,-7.568027443049,1.14476853189098e-89,-7.34603191767242,4.3559823013962e-60,-7.35976485077925,1.02879211465121e-92,-8.15934584368735,1.15729887590898e-87,-8.23656370045768,4.60657674603254e-40
25%,,-0.5619539890813998,0.0125782146699095,-0.30806532199873926,0.392774770927323,-0.41191932202459974,0.28520973898241075,-0.556142719254565,0.0028437699680236,-0.5644308134814138,0.027956930238876302,-0.5644324268546748,0.24893748820582676,-0.6475427715564219,0.0917209637829784,-0.725187463580464,0.0459609225890632,-0.5062021365020822,0.102329493445221,-0.5504454601306195,0.04111544401715065,-0.452330792722318,0.452301174673408,-0.642846456312017,0.0170732482777583,-0.43352380195113227,0.028029965253784376,-0.696911779910424,0.006185781241356349,-0.576614795461712,0.0035716657146816,-0.471218041334776,0.0181593745830883,-0.5098921139469867,0.0163885596427532,-0.381848856298989,0.129858916834429,-0.489256101219894,0.0315849426060874,-0.449051369951649,0.0154483837106598,-0.5158718696192097,0.16468840414826025
50%,,0.010975770281163099,0.202598337255454,0.027481723113894352,0.701004623619884,-0.0045229885629966,0.646310061360672,0.0030945755188565,0.12834706099052,0.06280423081710605,0.2567919585684305,-0.06499273920074455,0.5615967900039776,-0.0190597683744041,0.379657158862642,-0.0903666452206763,0.306112345120774,-0.02505118505433165,0.423293169337978,0.021836013538591,0.314924922565379,-0.0399108156523702,0.74551870375888,-0.0365169540226586,0.230720112574853,0.041297219775800253,0.2429344573321395,-0.04356913361148085,0.1802321304138185,-0.0159825630170612,0.157794583911695,0.0228416403269756,0.245503028628757,0.06710328907643115,0.216234511401311,0.0208827568228126,0.441162153281184,0.019119510522210198,0.267463471193255,0.0342301845898749,0.203720897306319,-0.01927041934415525,0.4910256277295665
75%,,0.7045313724764215,0.599921809514586,0.3672478880696133,0.880079282538041,0.4240025818908585,0.862421643132206,0.634378048104933,0.524761178653842,0.7868089092739585,0.6417098549380593,0.5060158191519543,0.818195933815465,0.7325155258129086,0.7217890244303224,0.617617952256654,0.676919395662518,0.508878037705484,0.749950079176248,0.7193042091599415,0.68847988410266,0.392310341991385,0.89989394219946,0.6834995779512696,0.628233429627873,0.620927765388833,0.6261878455483157,0.720145683809222,0.583345275316078,0.655755624862903,0.566074321604397,0.616862423114805,0.6364099859317,0.6749305958225985,0.605758371669033,0.489655061877567,0.751810921849401,0.5963549309799705,0.645229865599002,0.618709186738199,0.590120579947055,0.4502257925728465,0.785316657796562
