,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,330795,111720.0,111720.0,17014.0,17014.0,18962.0,18962.0,329945.0,329945.0,284220.0,284220.0,79700.0,79700.0,136111.0,136111.0,265125.0,265125.0,103864.0,103864.0,232919.0,232919.0,39901.0,39901.0,218683.0,218683.0,103938.0,103938.0,80354.0,80354.0,216381.0,216381.0,75829.0,75829.0,229418.0,229418.0,60809.0,60809.0,181816.0,181816.0,106613.0,106613.0,34754.0,34754.0
unique,330795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,chr12-51047850-51048349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.0075570771004379485,0.21752775710468503,0.03649974360589105,0.5023930024955029,0.03635932770690818,0.45463537765025647,0.09601065752222623,0.2653886731781119,0.05712428421736848,0.31114955711031617,-0.03598210006195715,0.4206354252860245,-0.0029921819792108166,0.36950217242110933,-0.03381630730570508,0.33677696045846894,0.07321224955682427,0.3683881409253614,0.10322030790941533,0.3217330627775936,-0.00023991031224800143,0.5597977019843323,0.04322617976894064,0.2879017161177168,0.07925847822219348,0.3331477328640557,0.045467599241744636,0.23959635280321875,0.08165622783866985,0.24307935000126663,0.04999600835969793,0.2841924323358748,0.04824903018177801,0.3002330540616854,0.03795892361763345,0.4004324971067488,0.06618664253357733,0.30653270024979584,0.07847319173922894,0.28884113219873486,-0.03716108206823868,0.36930763372251807
std,,1.3929779618518368,0.2975826447641611,0.8001816121086,0.33233736873089337,1.2233944053971983,0.3488309064415513,1.0664293049798759,0.3163685749714874,1.0672685676227225,0.3258870703295577,1.0915052169698345,0.3296601898885866,1.2946781229548745,0.3297524549419515,1.108882114254368,0.3284729975272062,1.093008640835632,0.33511298654682287,1.14845059584645,0.3306585531531089,1.0271559653213491,0.3352340570523167,1.2003981175785532,0.3212659638434626,0.9730630199069442,0.3284494281936476,1.873603047344601,0.31033994343367105,1.3813268065246846,0.3078449416310012,1.301097688956207,0.3216268224076466,0.94810903029939,0.3231752180474199,0.8705277344001974,0.33466036527191945,1.0278381945937338,0.3240878521887835,1.045329162518187,0.3204523532724075,1.2909684109934771,0.3336774387684829
min,,-8.41078563945814,2.16505543795148e-100,-6.61760923091897,2.23583382320801e-31,-8.41560091144498,1.14400737675514e-58,-8.93590066377163,1.59996771935554e-102,-8.05356919426368,7.54386893919837e-67,-8.11442299385238,2.25377114533592e-30,-8.881350405871,1.35097795804622e-35,-8.26423883123623,2.29905476209341e-37,-8.0828116589573,7.402279997951019e-40,-8.25355947158429,1.19745720082543e-53,-7.52575150210484,6.8881102831203e-14,-9.89024291007564,1.20971450855889e-60,-7.49372104529378,2.97026771085143e-56,-9.96768017285845,3.8491516409688e-71,-9.253941062722,3.0824234254658e-106,-8.87378491876135,1.25809937029995e-95,-8.24420080803841,9.90106556476222e-78,-7.68501315547339,1.96627131460661e-40,-8.05637794159347,1.9973015692222e-71,-8.71248598289733,2.49501626904404e-76,-8.4805539508604,5.86942856101835e-79
25%,,-0.7842064471709933,0.00017885824143705,-0.3343046765283775,0.188308127381759,-0.46190311844347676,0.08567755455800471,-0.521271562805214,0.0008347450218419,-0.6040940635090425,0.0091453314075827,-0.6171729297676418,0.09354343467202135,-0.6946353097948305,0.04537013745151815,-0.722021910604262,0.0221208894682811,-0.5266579098917983,0.0334366366421307,-0.5678910648687701,0.008815215929673551,-0.460907937507447,0.259142536751016,-0.6670516543604146,0.0045412144871096,-0.4605224912719705,0.0190099356799583,-0.8463805665572623,8.394400227701825e-05,-0.702122620178819,0.0002712447202708,-0.568256986896756,0.0023582112112916,-0.5122928806822968,0.007082827101410875,-0.412362888822647,0.0644544353972365,-0.51664788635042,0.0089526843941701,-0.493490322521879,0.0047278746230808,-0.5787566578126242,0.036318298201195774
50%,,-0.0092429083554583,0.0417619813466991,-0.00199851843938125,0.5355417119236955,-0.0241220103402845,0.4575659384304065,-0.0087117352095087,0.100461759215142,-0.0263675532894432,0.18283821996242,-0.09716179852133405,0.3853973363165535,-0.0670991715564197,0.29428300941698,-0.109964460769204,0.230078768470686,-0.03102323241071705,0.28951704438641146,-0.0103319646889787,0.199886962956615,-0.0536550933885151,0.638908179573954,-0.0620042999958132,0.140078094296762,0.015276438294566201,0.221830638159688,-0.02507793954562905,0.056235712122930145,-0.0418155021259254,0.0703376858853234,-0.0095221246804542,0.132003193226488,0.01122765328967945,0.1634106764035665,-0.0059454941837769,0.349871509171756,0.00967303529493425,0.175079637040563,-0.0011543208873381,0.143310148300653,-0.044273535069798545,0.29069635757111045
75%,,0.720601732783657,0.3780150400496227,0.3376601731885837,0.810552599292272,0.45187438807548075,0.7890379742805813,0.630516840297558,0.497768196173091,0.681075924832408,0.584403867384243,0.5232546129498112,0.722802769899475,0.687932156938574,0.6646847996115586,0.623488734879539,0.621058775896897,0.597450481585354,0.6714668995896773,0.7164342937129404,0.6043489137404294,0.398694043106792,0.861187771444316,0.7081766003552235,0.5408929349689405,0.5732735787085861,0.619003355746444,0.8954400402237598,0.445300151661211,0.753659545875644,0.446530022733844,0.613331782643789,0.53749871425951,0.5918047749212327,0.563062685101418,0.449376203589206,0.707336516352162,0.6165373406779922,0.572761271817973,0.585247893079973,0.539007337087314,0.48706509088130945,0.671474387991207
