,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,330795,111720.0,111720.0,17014.0,17014.0,18962.0,18962.0,329945.0,329945.0,284220.0,284220.0,79700.0,79700.0,136111.0,136111.0,265125.0,265125.0,103864.0,103864.0,232919.0,232919.0,39901.0,39901.0,218683.0,218683.0,103938.0,103938.0,80354.0,80354.0,216381.0,216381.0,75829.0,75829.0,229418.0,229418.0,60809.0,60809.0,181816.0,181816.0,106613.0,106613.0,34754.0,34754.0
unique,330795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,chr6-39367000-39367499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,-0.13226227161423215,0.28881683825934157,-0.030032640385242896,0.6041295121839921,0.0045491021936886426,0.5108406741100041,0.02620604771940462,0.31537468957156967,-0.08311874627562633,0.372278855222635,-0.031028514858119773,0.4623462070260151,-0.06816893134610456,0.3782427443558479,0.002858270560979357,0.3763754844477338,0.03737496790804317,0.3709258083955281,-0.02745135999497645,0.3816847671825193,0.009515497153551808,0.5841376949898226,-0.004403394118267082,0.3364314567939144,-0.05286304909475709,0.35150194586195943,-0.032218237147658285,0.26765909525144316,-0.014312012274680902,0.30613604432537556,-0.07219953431666139,0.3115314434366945,-0.04953752374198473,0.35167400444320024,-0.057668070625652226,0.4087820375960295,-0.006170748895651826,0.393803515024155,-0.05935946408917303,0.3435022926699218,0.004881415759419631,0.40983314079198097
std,,1.2416389425625503,0.3183291453696489,0.8937713117123469,0.3212366856948153,1.1619890394142396,0.35696372245385133,1.0305880130288307,0.32962398832539774,1.1210630345468238,0.33596333861439676,1.125205905576961,0.34675374638465845,1.1900237982553499,0.3379504892622716,1.1380962124948681,0.3401736512067956,1.1917310414483973,0.3395397104670871,1.158128992895985,0.3413762091625042,1.174790229079448,0.3475100272060189,1.2470257321714153,0.33562377429820417,1.0856852711630662,0.33447105942419303,1.6243023548906783,0.3172736356351641,1.2185449567417357,0.329452405255404,1.3289810183988957,0.3288762124004224,0.9730309379301748,0.3330035013854988,0.9897839742211697,0.33869742151310017,0.9837675271329397,0.3393227742058486,1.1049513820264318,0.33171445853786596,1.1268386321479302,0.33835879414970693
min,,-10.8614614572578,9.21836775466018e-113,-7.85333859966447,3.52464042216402e-26,-8.68586907072953,1.05241671497924e-46,-12.9283084329334,1.86173778554411e-141,-11.9413402478028,1.25810961176432e-100,-9.69799747236704,2.66164069092941e-47,-10.3023646739474,3.47272524764708e-70,-11.4829682198242,4.92810462375236e-70,-9.47480813571504,4.1661624682393e-78,-11.5927225848083,1.37653800337773e-81,-8.49332983581391,1.25732456943777e-19,-11.1304020074342,2.94123050723228e-103,-10.1486093787097,1.60777004565129e-95,-10.9545192671411,2.52460368943991e-83,-11.9965249513487,1.02859063456209e-112,-10.0437484176057,3.81979079372528e-103,-11.0509136656768,4.49193626259777e-113,-9.34227779205457,1.62221653152904e-69,-10.9310146261073,9.3743098962223e-102,-10.2118251219498,8.09167902020794e-97,-9.6754636404848,1.37445114365783e-62
25%,,-0.7836336874383053,0.00641020087428515,-0.345255216509328,0.35155213871358326,-0.39941501728262574,0.1309502328694705,-0.520939687228871,0.0048216753709399,-0.6876451750542101,0.030435870949551025,-0.5210210100770702,0.0987185647692911,-0.633062710788904,0.03442095000895975,-0.598298416442528,0.0255664267062851,-0.5274011858887695,0.024647058384998824,-0.6393985456004105,0.0303469796003122,-0.442632100457257,0.271414890367689,-0.649901530985724,0.0092471943487163,-0.5730209735126308,0.020187037085314247,-0.7817458728692792,0.00064162432999355,-0.64734102626069,0.003557994000444,-0.639846509009675,0.0053719427160462,-0.583495479718435,0.022330186051316626,-0.474255293400733,0.0616143363724954,-0.514478372576639,0.044273429920420576,-0.580561708894862,0.0186375655887888,-0.4472224430444155,0.0639606809587748
50%,,-0.058969096128759696,0.1473486235757735,-0.0163565226062809,0.696945854169663,-0.02080863386467125,0.573782922420507,-0.0210222237414399,0.190157454376665,-0.09998253424792936,0.303568197429638,-0.03740383637951075,0.47026946132538,-0.0455645386273027,0.310717251833581,-0.0426622970208625,0.308974256068204,-0.01558577493974055,0.2954699599053515,-0.026272952138003,0.316929795552174,-0.0149082981162495,0.689593289146482,-0.0391136958022367,0.227035968669181,-0.01617932475406285,0.25951042274935954,0.0063821729077710495,0.10419246730311349,-0.0396507642613177,0.167710014626031,-0.0275736627703741,0.180307937035709,-0.02903189511160645,0.259514150158497,-0.0137354498226921,0.36551303376428,-0.0040382842833446495,0.341421121940588,-0.0201304600520861,0.244024229256255,-0.0051358012967394,0.37244639663434853
75%,,0.5159843306364346,0.53714136942082,0.2946717676116888,0.883541119005696,0.38316575581802725,0.850567843629814,0.489620387776444,0.594974423199538,0.46725686922537124,0.676702890162245,0.452634902110459,0.794862337326245,0.491100173785598,0.6885651018323464,0.527163171017076,0.690225912299516,0.5446428165880588,0.682900884458579,0.538213209802978,0.698755414682652,0.42140022455469,0.901139601878932,0.560908303771762,0.635023689106281,0.4538762993561925,0.650539953783453,0.6960979716103977,0.5025092036207199,0.573113471608452,0.581450865545475,0.500998140265505,0.588402872579277,0.4595233741659845,0.648491291330263,0.392486941469435,0.726653364806927,0.47529975978739375,0.70842467915233,0.459772886796118,0.635831232771145,0.45341458846751126,0.724332302309279
