,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,204546,87458.0,87458.0,13488.0,13488.0,13917.0,13917.0,204267.0,204267.0,188056.0,188056.0,61955.0,61955.0,108255.0,108255.0,170921.0,170921.0,70537.0,70537.0,163374.0,163374.0,30660.0,30660.0,149945.0,149945.0,79079.0,79079.0,57694.0,57694.0,131453.0,131453.0,58696.0,58696.0,151322.0,151322.0,44272.0,44272.0,127664.0,127664.0,70432.0,70432.0,28821.0,28821.0
unique,204546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,chr7-66628629-66629128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.06473630331815786,0.18318009662227255,-0.02526438913362789,0.4870453120916128,0.23383955674083481,0.4042622782741395,0.09663652154543752,0.1881755140675223,0.09687563387118904,0.236771619823545,0.11227213262658552,0.2754375289866717,-0.049509830151086266,0.21112960060150207,0.03567566398583566,0.2189546226983944,0.25773190520486905,0.25169407732701854,0.07212024058705784,0.25036295816128684,0.04583212594644543,0.3902390611137258,0.13100777706616792,0.20988978814836246,0.059436160703005954,0.19778186625426097,0.3064054450214006,0.1844620995760027,0.29733662145331063,0.20866470077002788,0.07446167360963055,0.21008743037402877,0.04845892120153858,0.23427835005758524,-0.02181031707437784,0.25177025049482815,0.08501512576066207,0.24380491615939376,0.08103585884672951,0.20141540103981886,0.0524444866926355,0.25147895573149726
std,,1.7209923374116851,0.2825232842747013,1.1171745391183217,0.3321876819313066,1.4275133024945634,0.33839589140775683,1.4118552995147895,0.28725342869352494,1.4897986532139458,0.3095000768418282,1.5028863868200713,0.3195973007149866,1.5530892596900954,0.29459743085579226,1.5040941301357453,0.30191530832270724,1.5664476434364114,0.31147173565458824,1.497592302228779,0.3131795026661267,1.508127892679293,0.3437782477062443,1.6074695316639958,0.2968694975393742,1.5680327374514569,0.28941655387188436,1.979544935644203,0.2844772933400024,1.7210471296438001,0.29473997591643597,1.7729269868290514,0.2933140969107485,1.3403811302925042,0.3058831902249796,1.3699201996252128,0.3076109463434303,1.34461151908056,0.3082979698352122,1.5593046688259777,0.29081788810906894,1.504001725657167,0.3103266990673677
min,,-10.9226427801385,2.56757431125994e-239,-7.67932100422078,5.21156169827321e-21,-8.22726170687431,2.58287389461282e-22,-13.0641867111809,5.06917906169943e-245,-11.8723131462886,2.51028002369319e-206,-9.38901592856503,4.858548824090751e-67,-10.0909074957334,1.37044075051569e-135,-11.3891262753539,8.3396249590779e-104,-9.17129829263849,1.92482177064341e-66,-11.5301302698,1.70141408031525e-119,-8.38771124543904,1.8386262256851e-26,-11.0154658767405,4.16413492975894e-138,-9.98742494119672,1.04320198083368e-117,-9.99400826485274,8.70195969707982e-130,-11.7658310701674,8.7077592966674e-142,-9.49543765900351,1.98523203464614e-79,-11.1004727674051,4.45990528419728e-169,-8.94171233405224,9.04175722491191e-80,-10.6971206638123,1.41522913439383e-139,-10.1172563885928,8.99385990603953e-120,-9.40970770006914,9.00402963576542e-105
25%,,-0.8416700964178601,3.4266983651262973e-06,-0.4145365288316225,0.171047433620296,-0.353191876054825,0.0600728849551829,-0.6839958016281891,5.202474136982225e-08,-0.7286592658113122,3.345705438520603e-05,-0.6389289514118186,0.00212945117164255,-0.885306159780028,0.0001099700024985,-0.81610228665057,1.60403728995477e-05,-0.563423822574174,0.0008304247640687,-0.763276150895431,0.000273635539594175,-0.5270664437217775,0.0270837488834547,-0.770378269928396,8.56316959906003e-06,-0.7406922565796775,2.491527525655165e-05,-0.7174713419372705,1.080639116069335e-06,-0.647558137328589,1.41299149508084e-05,-0.7648659854457588,0.0001519687860692,-0.6977793612587551,0.000135711889657125,-0.6245512059128245,0.00137961569615,-0.660758667971911,0.000554469351182425,-0.6953082101390206,3.60430942577701e-05,-0.604785630031362,0.0010841881352537
50%,,0.01300715123526335,0.012451902276535299,0.01056404336566315,0.4982000452817015,0.155590651578529,0.358331856057691,0.0049496491349554,0.0104760389658696,0.0294840308816511,0.05329195223110415,0.0140105628717676,0.11568688276873,-0.0419798384925747,0.0348979115481627,-0.0365397477736099,0.0347194931308106,0.110388752123606,0.08167998258056,0.023436124245063,0.07465337636969954,0.0412423892124537,0.34208244784444497,0.0146175885057472,0.0283126898417821,0.0399424830127769,0.0225475282662054,0.132186354886077,0.010473377905784599,0.219000417811519,0.0293982288428796,0.11721451801251401,0.0349765100222614,0.03080773755913015,0.0560226297284463,0.0191117148716087,0.08791614635878656,0.0518528173873026,0.0718945325577975,0.04385392740368145,0.0255053524106622,-0.0050824134856574,0.0823699417254758
75%,,0.9956380657636296,0.28492618797713626,0.419843487088182,0.7946247239560538,0.716787634819653,0.72015880981436,0.791148811785277,0.3000487389391425,0.8849748701205749,0.435633669944385,0.8355949676868525,0.5191974043205485,0.8030300102404185,0.361898387820047,0.818410915601812,0.387734519173843,0.976447051495405,0.464159302936491,0.8634663259507125,0.46692950177160497,0.5780210729923507,0.7102796489136918,0.9658113109069,0.361199657547946,0.853355711559622,0.3240442133454835,1.3629638020052501,0.285248366261759,1.15281609980118,0.358405177163813,0.8966390292016555,0.35910354849359,0.76034970122751,0.424466982869518,0.5808733342887318,0.46115278419158773,0.7876919424138915,0.44363300793892574,0.8340698686807115,0.33522040327060904,0.653925426147588,0.461656333714702
