,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,204546,87458.0,87458.0,13488.0,13488.0,13917.0,13917.0,204267.0,204267.0,188056.0,188056.0,61955.0,61955.0,108255.0,108255.0,170921.0,170921.0,70537.0,70537.0,163374.0,163374.0,30660.0,30660.0,149945.0,149945.0,79079.0,79079.0,57694.0,57694.0,131453.0,131453.0,58696.0,58696.0,151322.0,151322.0,44272.0,44272.0,127664.0,127664.0,70432.0,70432.0,28821.0,28821.0
unique,204546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,chr7-66628629-66629128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.20985712492458236,0.12873031258305445,0.009307845072015227,0.437388945433366,0.2392197004434541,0.3684350996725401,0.09299729193614054,0.16785327712643539,0.1623242682219668,0.20540311575650888,0.13982600315273194,0.2351677655504916,0.028549380046908532,0.18541158094260324,0.03879381007737238,0.20913332944324178,0.23866334585319166,0.2532232175008744,0.11274952267313913,0.2166488908358286,0.049173462549040876,0.35883948091024737,0.15828237809281104,0.19521910059942774,0.12683034569621318,0.19741350929149015,0.34474106886670935,0.15379144077619342,0.3250457163009675,0.19778847204647945,0.15028164260649973,0.20504485267204434,0.11961031068283158,0.20193584034735432,0.03451457089395418,0.2540485083608099,0.0992923561907221,0.23063500129532657,0.14545333326792648,0.20025268651670397,0.042552830635386334,0.196169203609715
std,,1.6142213048007452,0.24722719817427605,1.0215031615295316,0.33503268436025924,1.4021945359010195,0.3361863947941321,1.3032982056048366,0.27471957705878325,1.3692820747998367,0.29523615597989256,1.3865552070542302,0.306873259306314,1.415945371445207,0.2835220427705686,1.386332541040378,0.2974583361029532,1.4680339412722672,0.3125829040164393,1.3762586787477538,0.2998468165666984,1.4405312786421915,0.34045618466073113,1.4787154672115561,0.2892616227522233,1.43400539273394,0.28839240813832695,2.0087613511956874,0.2647643641387599,1.6803277798053369,0.2899616666994454,1.6455412062860073,0.29148644306343857,1.2590270117134914,0.2907993070949018,1.2213926054362803,0.3115953618565212,1.301848685322546,0.3037351670718009,1.4324532259371365,0.28941739362696445,1.477912082304447,0.28948407780023083
min,,-8.03386051028923,1.11747106797684e-239,-6.70364710656648,4.70940776327363e-26,-7.60777286924726,4.89017543944512e-25,-7.67512757192101,1.87964283971718e-240,-6.8714939935492,1.62248970489107e-199,-6.23849130122359,4.487268803288381e-74,-8.393333970042,9.96369042935093e-166,-7.26648461962097,4.09742846728351e-149,-7.86568943971075,2.32952328115574e-76,-7.29351672474078,2.15190066056704e-122,-7.56986278032012,1.52755597069075e-43,-7.37796627819215,2.52090116515096e-248,-7.76115001996101,3.45508033058664e-125,-8.84043134258351,8.30755489283581e-128,-8.38158366061379,7.079445297415329e-138,-8.61456432712925,4.75945665739714e-92,-6.39576787222533,1.24397543063043e-146,-7.08437977152403,1.9887431653045e-86,-7.20357576829018,3.4724621975171e-134,-7.602063812967,3.98447503432298e-121,-7.61596012134347,5.0661132503123e-139
25%,,-0.7403642848990835,5.666025604292913e-09,-0.376030893437659,0.1052642921563,-0.337556742479228,0.029842332326918,-0.612516011255698,8.1524009860005e-09,-0.5678565651514688,1.8832632251667625e-06,-0.5678135988226405,0.0001840335540503,-0.7486700375844899,4.28631941205012e-06,-0.710435052093608,3.3121914866002e-06,-0.516428751558434,0.0007605857465975,-0.6474405712666135,1.77885264570101e-05,-0.491728076126488,0.01334759779761525,-0.660679263497309,1.78967741675808e-06,-0.6457665127662171,5.0553324357751204e-05,-0.7302808936899687,5.4353193966807875e-08,-0.61516111437727,8.26475742371581e-06,-0.6720456483706473,8.802312085414517e-05,-0.5900921855275845,1.73725718374311e-05,-0.5323818440908512,0.001080336895649925,-0.6138041527439975,0.0002115250817613,-0.6008474930127128,4.62445719861297e-05,-0.615627237478004,1.47488555860918e-05
50%,,0.08596067936937465,0.0006728077768814,0.031643059805143495,0.410734303908434,0.166758794756288,0.287729465825846,0.0347351681573932,0.0049545480357587,0.1105410546551645,0.02285634714941015,0.0412007525600515,0.0568887273065366,-0.0054444668799405,0.014027067303886,-0.0112382908938116,0.0251938198606745,0.122061796178502,0.0819801468462564,0.050337075070567144,0.0336221300698892,0.0689890429310932,0.270761986187601,0.0605256107993265,0.0173823344726717,0.0423527001722474,0.0238053473756773,0.1367782816062045,0.00311428563175295,0.246890906075779,0.0219176239249541,0.12256032985687951,0.02990941511128435,0.056556952051600246,0.025782624019913603,0.0234744655551037,0.08600914558138484,0.0586835067262718,0.053753387335171,0.04712715112743315,0.0262666909730766,-0.0140622601886913,0.0200937214601312
75%,,1.19383930159054,0.11185233811921726,0.41862435516461327,0.753128389744825,0.700343702634493,0.673113845646317,0.762115317349342,0.23444214308009348,0.8732721798749432,0.35156142356261,0.77843937879594,0.427048094802441,0.78934525585181,0.288948219753313,0.749520211097954,0.362436268059701,0.907753979401523,0.473294052355594,0.8465331728214912,0.381176604595007,0.5804402017727575,0.667165467510213,0.928976380506803,0.321706895301911,0.878858773495803,0.323871274700016,1.4557385733753,0.19107455673270476,1.2104076730841,0.32328450977081,0.92410124656955,0.34741635033017476,0.8171669788256948,0.3360376787982965,0.5543128431921285,0.46599625860710425,0.7903122042831761,0.41289118514045425,0.8410442934731235,0.32899394883050076,0.632415211012408,0.322037730412013
